dataset_id,dataset,label,description,count_variables,count_observations,count_data_points
1,tournaments,Tournaments,"This dataset records all World Cup tournaments. There is one observation per tournament. It includes the host of the tournament, the winner of the tournament, the start and end dates of the tournament, and information about the format of the tournament. There are 18 variables and 21 observations.",18,21,378
2,confederations,Confederations,This dataset records all FIFA confederations. There is one observation per confederation. There are 5 variables and 6 observations.,5,6,30
3,teams,Teams,This dataset records all teams who have participated in a World Cup match. There is one observation per team. It includes the 3-letter ISO code for each country and information about each country's national federation and FIFA confederation. There are 11 variables and 84 observations.,11,84,924
4,players,Players,"This dataset records all players who have participated in a World Cup match, including players on the bench. There is one observation per player. It includes their name, their birth date, and a link to their Wikipedia page, if they have one. Note that it does not include their team, as a small number of players represent different countries in different tournaments. There are 12 variables and 7907 observations.",12,7907,94884
5,managers,Managers,"This dataset records all managers who have participated in a World Cup match. There is one observation per manager. It includes their name, their home country, and a link to their Wikipedia page, if they have one. There are 6 variables and 357 observations.",6,357,2142
6,referees,Referees,"This dataset records all referees who have participated in a World Cup match. There is one observation per referee. It includes their name, their home country, their confederation, and a link to their Wikipedia page, if they have one. There are 9 variables and 380 observations.",9,380,3420
7,stadiums,Stadiums,"This dataset records all stadiums that have hosted a World Cup match. There is one observation per stadium. It includes the country and city of the stadium, the approximate capacity of the stadium, and the link to the Wikipedia pages for the city and the stadium. There are 8 variables and 185 observations.",8,185,1480
8,matches,Matches,"This dataset records all World Cup matches. There is one observation per match per tournament. It includes the home team, the away team, the date of the match, the country, city, and stadium that the match was played in, the final score, the score margin for each team, whether the match went to extra time, whether there was a penalty shootout, the number of penalties scored in the shootout (if applicable), the result of the match (home team win, away team win, draw, replayed), and the winner (if applicable). There are 37 variables and 900 observations.",37,900,33300
9,awards,Awards,"This dataset records all individual awards that are handed out to players. There is one observation per award. It includes the name of the award, the year the award was first introduced, and a description of the award. There are 5 variables and 8 observations.",5,8,40
10,qualified_teams,Qualified teams,"This dataset records all qualified teams. There is one observation per team per tournament. It includes the tournament, the team, and the performance of each team (the furthest stage reached). There are 8 variables and 457 observations.",8,457,3656
11,squads,Squads,"This dataset records the composition of each squad. There is one observation per player per team per tournament. It includes the position of each player, the shirt number of each player (from 1954), the current club of each player, and a link to the Wikipedia page for the club, if it has one. There are 12 variables and 10142 observations.",12,10142,121704
12,manager_appointments,Manager appointments,This dataset records all manager appointments. There is one observation per manager per team per tournament. There are some teams that have co-managers. There are 10 variables and 469 observations.,10,469,4690
13,referee_appointments,Referee appointments,"This dataset records all referee appointments. There is one observation per referee per tournament. This dataset only includes the main referee, not assistant referees, fourth officials, or video assistant referees.There are 10 variables and 511 observations.",10,511,5110
14,team_appearances,Team appearances,"This dataset records all team appearances. There is one observation per team per match per tournament. It includes whether the team is the home team or the away team, the number of goals for and against, the goal difference, whether there was a penalty shootout, penalties for and against (if applicable), and whether the team wins, loses, or draws. There are 36 variables and 1800 observations.",36,1800,64800
15,player_appearances,Player appearances,"This dataset records all player appearances since 1970. There is one observation per player per team per match per tournament. It includes players who play in the match, including players who are in the starting eleven and players who come in as substitutes. FIFA match reports do not include information about substitutions before 1970. There are 22 variables and 18623 observations.",22,18623,409706
16,manager_appearances,Manager appearances,This dataset records all manager appearances. There is one observation per manager per team per match per tournament. There are some teams that have co-managers. There are 17 variables and 1842 observations.,17,1842,31314
17,referee_appearances,Referee appearances,This dataset records all referee appearances. There is one observation per referee per match per tournament. There are 15 variables and 900 observations.,15,900,13500
18,goals,Goals,"This dataset records all goals. There is one observation per goal. It indicates the team that scored the goal, player who scored the goal, the team of the player who scored the goal (to account for own goals), minute of the goal, and whether the goal was scored in the run of play by the opposition, was an own goal, or was a penalty. This dataset does not include converted penalties in a penalty shootout. There are 27 variables and 2548 observations.",27,2548,68796
19,penalty_kicks,Penalty kicks,"This dataset records all penalty kicks taken during penalty shootouts. There is one observation per penalty kick. This dataset does not include attempted penalty kicks during matches. It indicates minute of each kick, the player who took the kick, and whether the penalty was converted. There are 19 variables and 279 observations.",19,279,5301
20,bookings,Bookings,"This dataset records all bookings, including yellow cards and red cards, since 1970. The modern system of yellow and red cards was introduced in 1970. There is one observation per booking. It indicates the minute of each booking, the player who was booked, whether the booking was a yellow card or a red card, whether the card was a second yellow card, and whether the player was sent off as a result of the booking. There are 26 variables and 2466 observations.",26,2466,64116
21,substitutions,Substitutions,"This dataset records all substitutions since 1970. FIFA match reports do not include information about substitutions before 1970. There is one observation per player per substitution. It indicates the minute of the substitution, the player who went off, and the player who came on. There are 24 variables and 6464 observations.",24,6464,155136
22,host_countries,Host countries,This dataset records all host countries. There is one observation per host country per tournament. A tournament can have multiple host countries. It indicates the performance of each host country (the furthest stage reached). There are 7 variables and 22 observations.,7,22,154
23,tournament_stages,Tournament stages,"This dataset records the stages in each tournament. There is one observation per stage per tournament. It indicates the name of the stage, whether the stage was a group stage or a knockout stage, if the stage was a group stage, whether there were unbalanced groups, the start and end dates of the stage, and how many matches there were in the stage, how many teams participated in each stage, how many games were scheduled, how many replays there were, how many walkovers there were, and how many playoffs there were. There are 16 observations and 107 observations.",16,107,1712
