dataset_id,dataset,variable_id,variable,type,description
1,tournaments,1,key_id,integer,The unique ID number for the observation.
1,tournaments,2,tournament_id,text,"The unique ID number for the tournament. Has the format {WC-####}, where the number is the year of the tournament."
1,tournaments,3,tournament_name,text,The name of the tournament.
1,tournaments,4,year,integer,The year of the tournament.
1,tournaments,5,start_date,date,The start date of the tournament in the format {YYYY-MM-DD}.
1,tournaments,6,end_date,date,The end date of the tournament in the format {YYYY-MM-DD}.
1,tournaments,7,host_country,text,The unique ID number for the country that hosted the tournament. References {team_id} in the {teams} dataset.
1,tournaments,8,winner,text,The name of the team that won the tournament.
1,tournaments,9,host_won,boolean,Whether one of the host countries won the tournament. Coded {1} if one of the host countries won and {0} otherwise.
1,tournaments,10,count_teams,integer,The number of teams that participated in the tournament.
1,tournaments,11,group_stage,boolean,Whether the match is a group stage match. Coded {1} if the match is a group stage match and {0} otherwise.
1,tournaments,12,second_group_stage,boolean,Whether there was a second group stage. Coded {1} if there was a second group stage and {0} otherwise.
1,tournaments,13,final_round,boolean,Whether there was a final round. Coded {1} if there was a final round and {0} otherwise.
1,tournaments,14,round_of_16,boolean,Whether there was a round of 16 stage. Coded {1} if there was a round of 16 stage and {0} otherwise.
1,tournaments,15,quarter_finals,boolean,Whether there was a quarter-finals stage. Coded {1} if there was a quarter-finals stage and {0} otherwise.
1,tournaments,16,semi_finals,boolean,Whether there was a semi-finals stage. Coded {1} if there was a semi-finals stage and {0} otherwise.
1,tournaments,17,third_place_match,boolean,Whether there was a third-place match. Coded {1} if there was a third-place match and {0} otherwise.
1,tournaments,18,final,boolean,Whether there was a final match. Coded {1} if there was a final match and {0} otherwise.
2,confederations,1,key_id,integer,The unique ID number for the observation.
2,confederations,2,confederation_id,text,"The unique ID number for the confederation. Has the format {CF-#}, where the number is a counter that is assigned with the confederations sorted in alphabetical order."
2,confederations,3,confederation_name,text,The name of the confederation.
2,confederations,4,confederation_code,text,The abbreviation for the confederation.
2,confederations,5,confederation_wikipedia_link,text,The Wikipedia link for the confederation.
3,teams,1,key_id,integer,The unique ID number for the observation.
3,teams,2,team_id,text,"The unique ID number for the team. Has the format {T-##}, where the number is a counter that is assigned with the data sorted by the year of the team's first tournament and then by the team's name."
3,teams,3,team_name,text,The name of the team.
3,teams,4,team_code,text,The 3-letter code for the team.
,teams,5,mens_team,boolean,Whether the country's men's team has qualified for a tournament.
,teams,6,womens_team,boolean,Whether the country's women's team has qualified for a tournament.
3,teams,7,federation_name,text,The name of the team's federation.
3,teams,8,region_name,text,The name of the region that the country is located in.
3,teams,9,confederation_id,text,The unique ID number for the confederation. References {confederation_id} in the {confederations} dataset.
3,teams,10,confederation_name,text,The name of the confederation.
3,teams,11,confederation_code,text,The abbreviation for the confederation.
3,teams,12,mens_team_wikipedia_link,text,The Wikipedia link for country's men's team. Coded {not applicable} if the country's men's team has not qualified for a tournament.
,teams,13,womens_team_wikipedia_link,text,The Wikipedia link for country's women's team. Coded {not applicable} if the country's women's team has not qualified for a tournament.
3,teams,14,federation_wikipedia_link,text,The Wikipedia link of the team's federation.
4,players,1,key_id,integer,The unique ID number for the observation.
4,players,2,player_id,text,"The unique ID number for the player. Has the format {P-#####}, where the number is a randomly drawn, uniquely identifying number."
4,players,3,family_name,text,The family name of the player.
4,players,4,given_name,text,The given name of the player.
4,players,5,birth_date,date,The birth date of the player in the format {YYYY-MM-DD}.
,players,6,female,boolean,Whether the player is female. Coded {1} if the player is female and {0} if the player is male.
4,players,7,goal_keeper,boolean,Whether the player was a goal keeper. Coded {1} if the player was a goal keeper and {0} otherwise.
4,players,8,defender,boolean,Whether the player was a defender. Coded {1} if the player was a defender and {0} otherwise.
4,players,9,midfielder,boolean,Whether the player was a midfielder. Coded {1} if the player was a midfielder and {0} otherwise.
4,players,10,forward,boolean,Whether the player was a forward. Coded {1} if the player was a forward and {0} otherwise.
4,players,11,count_tournaments,integer,The number of tournaments that the player participated in.
4,players,12,list_tournaments,text,"A list of tournaments that the player participated in, separated by a comma."
4,players,13,player_wikipedia_link,text,The name of the team of the player.
5,managers,1,key_id,integer,The unique ID number for the observation.
5,managers,2,manager_id,text,"The unique ID number for the manager. Has the format {M-####}, where the number is a counter that is assigned with the data sorted by the year of the manager's first appearance, then by the manager's family name, and then by the manager's given name."
5,managers,3,family_name,text,The family name of the manager.
5,managers,4,given_name,text,The given name of the manager.
,managers,5,female,boolean,Whether the manager is female. Coded {1} if the manager is female and {0} if the manager is male.
5,managers,6,country_name,text,The name of the manager's home country.
5,managers,7,manager_wikipedia_link,text,The Wikipedia link for the manager.
6,referees,1,key_id,integer,The unique ID number for the observation.
6,referees,2,referee_id,text,"The unique ID number for the referee. Has the format {R-####}, where the number is a counter that is assigned with the data sorted by the year of the referee's first appearance, then by the referee's family name, and then by the referee's given name."
6,referees,3,family_name,text,The family name of the referee.
6,referees,4,given_name,text,The given name of the referee.
,referees,5,female,boolean,Whether the referee is female. Coded {1} if the referee is female and {0} if the referee is male.
6,referees,6,country_name,text,The name of the referee's home country.
6,referees,7,confederation_id,text,The unique ID number for the confederation. References {confederation_id} in the {confederations} dataset.
6,referees,8,confederation_name,text,The name of the confederation.
6,referees,9,confederation_code,text,The abbreviation for the confederation.
