key_id,goal_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
1,G-0001,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-09831,Laurent,Lucien,0,T-28,France,FRA,19',19,0,first half,0,0
2,G-0002,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-05670,Langiller,Marcel,0,T-28,France,FRA,40',40,0,first half,0,0
3,G-0003,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-07295,Maschinot,André,0,T-28,France,FRA,43',43,0,first half,0,0
4,G-0004,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-07295,Maschinot,André,0,T-28,France,FRA,87',87,0,second half,0,0
5,G-0005,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-03952,Carreño,Juan,0,T-44,Mexico,MEX,70',70,0,second half,0,0
6,G-0006,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-09935,McGhee,Bart,0,T-79,United States,USA,23',23,0,first half,0,0
7,G-0007,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-06672,Florie,Tom,0,T-79,United States,USA,45',45,0,first half,0,0
8,G-0008,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-09215,Patenaude,Bert,0,T-79,United States,USA,69',69,0,second half,0,0
9,G-0009,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-00319,Tirnanić,Aleksandar,0,T-83,Yugoslavia,YUG,21',21,0,first half,0,0
10,G-0010,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-06435,Bek,Ivan,0,T-83,Yugoslavia,YUG,30',30,0,first half,0,0
11,G-0011,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-09,Brazil,BRA,0,1,P-03855,Preguinho,not applicable,0,T-09,Brazil,BRA,62',62,0,second half,0,0
12,G-0012,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1930-07-14,group stage,Group 3,T-58,Romania,ROU,1,0,P-00978,Deşu,Adalbert,0,T-58,Romania,ROU,1',1,0,first half,0,0
13,G-0013,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1930-07-14,group stage,Group 3,T-58,Romania,ROU,1,0,P-04102,Stanciu,Constantin,0,T-58,Romania,ROU,79',79,0,second half,0,0
14,G-0014,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1930-07-14,group stage,Group 3,T-58,Romania,ROU,1,0,P-02034,Kovács,Miklós,0,T-58,Romania,ROU,89',89,0,second half,0,0
15,G-0015,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1930-07-14,group stage,Group 3,T-54,Peru,PER,0,1,P-00521,Souza Ferreira,Luis,0,T-54,Peru,PER,75',75,0,second half,0,0
16,G-0016,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,1930-07-15,group stage,Group 1,T-03,Argentina,ARG,1,0,P-03789,Monti,Luis,0,T-03,Argentina,ARG,81',81,0,second half,0,0
17,G-0017,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,P-04216,Vidal,Carlos,0,T-13,Chile,CHL,3',3,0,first half,0,0
18,G-0018,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,P-04216,Vidal,Carlos,0,T-13,Chile,CHL,65',65,0,second half,0,0
19,G-0019,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,P-04652,Rosas,Manuel,0,T-44,Mexico,MEX,52',52,0,second half,1,0
