key_id,tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,1,T-03,Argentina,ARG,3,3,0,0,10,4,6,6,1
2,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,0
3,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,3,T-30,France,FRA,3,1,0,2,4,3,1,2,0
4,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,4,T-46,Mexico,MEX,3,0,0,3,4,13,-9,0,0
5,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,1,T-87,Yugoslavia,YUG,2,2,0,0,6,1,5,4,1
6,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,2,T-09,Brazil,BRA,2,1,0,1,5,2,3,2,0
7,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,3,T-07,Bolivia,BOL,2,0,0,2,0,8,-8,0,0
8,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,1,T-84,Uruguay,URY,2,2,0,0,5,0,5,4,1
9,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,2,T-61,Romania,ROU,2,1,0,1,3,5,-2,2,0
10,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,3,T-56,Peru,PER,2,0,0,2,1,4,-3,0,0
11,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,1,T-83,United States,USA,2,2,0,0,6,0,6,4,1
12,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,2,T-55,Paraguay,PRY,2,1,0,1,1,3,-2,2,0
13,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,3,T-06,Belgium,BEL,2,0,0,2,0,4,-4,0,0
14,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,1,T-09,Brazil,BRA,3,2,1,0,8,2,6,5,1
15,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,2,T-87,Yugoslavia,YUG,3,2,0,1,7,3,4,4,0
16,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,3,T-75,Switzerland,CHE,3,1,1,1,4,6,-2,3,0
17,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,4,T-46,Mexico,MEX,3,0,0,3,2,10,-8,0,0
18,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,1,T-73,Spain,ESP,3,3,0,0,6,1,5,6,1
19,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,2,T-28,England,ENG,3,1,0,2,2,2,0,2,0
20,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,3,T-13,Chile,CHL,3,1,0,2,5,6,-1,2,0
21,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,4,T-83,United States,USA,3,1,0,2,4,8,-4,2,0
