key_id,tournament_id,tournament_name,stage_number,stage_name,group_name,count_teams
1,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,4
2,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,3
3,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,3
4,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,3
5,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,4
6,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,4
7,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 3,3
8,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 4,2
9,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,4
10,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,4
11,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,4
12,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,4
13,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,4
14,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,4
15,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,4
16,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,4
17,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,4
18,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,4
19,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,4
20,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,4
21,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,4
22,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,4
23,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,4
24,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,4
25,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,4
26,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,4
27,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,4
28,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,4
29,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,4
30,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,4
31,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,4
32,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,4
33,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,4
34,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,4
35,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,4
36,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,4
37,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,4
38,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 3,4
39,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 4,4
40,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group A,4
41,WC-1978,1978 FIFA Men's World Cup,2,second group stage,Group B,4
42,WC-1982,1982 FIFA Men's World Cup,1,first group stage,Group 1,4
43,WC-1982,1982 FIFA Men's World Cup,1,first group stage,Group 2,4
44,WC-1982,1982 FIFA Men's World Cup,1,first group stage,Group 3,4
45,WC-1982,1982 FIFA Men's World Cup,1,first group stage,Group 4,4
46,WC-1982,1982 FIFA Men's World Cup,1,first group stage,Group 5,4
47,WC-1982,1982 FIFA Men's World Cup,1,first group stage,Group 6,4
48,WC-1982,1982 FIFA Men's World Cup,2,second group stage,Group A,3
49,WC-1982,1982 FIFA Men's World Cup,2,second group stage,Group B,3
50,WC-1982,1982 FIFA Men's World Cup,2,second group stage,Group C,3
51,WC-1982,1982 FIFA Men's World Cup,2,second group stage,Group D,3
52,WC-1986,1986 FIFA Men's World Cup,1,group stage,Group A,4
53,WC-1986,1986 FIFA Men's World Cup,1,group stage,Group B,4
54,WC-1986,1986 FIFA Men's World Cup,1,group stage,Group C,4
55,WC-1986,1986 FIFA Men's World Cup,1,group stage,Group D,4
56,WC-1986,1986 FIFA Men's World Cup,1,group stage,Group E,4
57,WC-1986,1986 FIFA Men's World Cup,1,group stage,Group F,4
