key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,manager_id,family_name,given_name,country_name
1,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,M-054,Caudron,Raoul,France
2,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,M-175,Luque de Serrallonga,Juan,Mexico
3,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,M-200,Millar,Robert,Scotland
4,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,M-099,Goetinck,Hector,Belgium
5,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,M-303,Simonović,Boško,Yugoslavia
6,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-09,Brazil,BRA,0,1,M-067,de Carvalho Rodrigues,Píndaro,Brazil
7,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1930-07-14,group stage,Group 3,T-58,Romania,ROU,1,0,M-260,Rădulescu,Costel,Romania
8,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,1930-07-14,group stage,Group 3,T-54,Peru,PER,0,1,M-041,Bru,Francisco,Spain
9,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,1930-07-15,group stage,Group 1,T-03,Argentina,ARG,1,0,M-222,Olazar,Francisco,Argentina
10,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,1930-07-15,group stage,Group 1,T-03,Argentina,ARG,1,0,M-325,Tramutola,Juan José,Argentina
11,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,1930-07-15,group stage,Group 1,T-28,France,FRA,0,1,M-054,Caudron,Raoul,France
12,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-13,Chile,CHL,1,0,M-228,Orth,György,Hungary
13,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,1930-07-16,group stage,Group 1,T-44,Mexico,MEX,0,1,M-175,Luque de Serrallonga,Juan,Mexico
14,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,1930-07-17,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,M-303,Simonović,Boško,Yugoslavia
15,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,1930-07-17,group stage,Group 2,T-07,Bolivia,BOL,0,1,M-290,Saucedo,Ulises,Bolivia
16,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,1930-07-17,group stage,Group 4,T-79,United States,USA,1,0,M-200,Millar,Robert,Scotland
17,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,1930-07-17,group stage,Group 4,T-53,Paraguay,PRY,0,1,M-079,Durand Laguna,José,Argentina
18,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,1930-07-18,group stage,Group 3,T-80,Uruguay,URY,1,0,M-313,Suppici,Alberto,Uruguay
19,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,1930-07-18,group stage,Group 3,T-54,Peru,PER,0,1,M-041,Bru,Francisco,Spain
20,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,1930-07-19,group stage,Group 1,T-13,Chile,CHL,1,0,M-228,Orth,György,Hungary
21,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,1930-07-19,group stage,Group 1,T-28,France,FRA,0,1,M-054,Caudron,Raoul,France
22,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,1930-07-19,group stage,Group 1,T-03,Argentina,ARG,1,0,M-222,Olazar,Francisco,Argentina
23,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,1930-07-19,group stage,Group 1,T-03,Argentina,ARG,1,0,M-325,Tramutola,Juan José,Argentina
24,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,1930-07-19,group stage,Group 1,T-44,Mexico,MEX,0,1,M-175,Luque de Serrallonga,Juan,Mexico
25,WC-1930,1930 FIFA World Cup,M-1930-12,Brazil v Bolivia,1930-07-20,group stage,Group 2,T-09,Brazil,BRA,1,0,M-067,de Carvalho Rodrigues,Píndaro,Brazil
26,WC-1930,1930 FIFA World Cup,M-1930-12,Brazil v Bolivia,1930-07-20,group stage,Group 2,T-07,Bolivia,BOL,0,1,M-290,Saucedo,Ulises,Bolivia
27,WC-1930,1930 FIFA World Cup,M-1930-13,Paraguay v Belgium,1930-07-20,group stage,Group 4,T-53,Paraguay,PRY,1,0,M-079,Durand Laguna,José,Argentina
28,WC-1930,1930 FIFA World Cup,M-1930-13,Paraguay v Belgium,1930-07-20,group stage,Group 4,T-06,Belgium,BEL,0,1,M-099,Goetinck,Hector,Belgium
29,WC-1930,1930 FIFA World Cup,M-1930-14,Uruguay v Romania,1930-07-21,group stage,Group 3,T-80,Uruguay,URY,1,0,M-313,Suppici,Alberto,Uruguay
30,WC-1930,1930 FIFA World Cup,M-1930-14,Uruguay v Romania,1930-07-21,group stage,Group 3,T-58,Romania,ROU,0,1,M-260,Rădulescu,Costel,Romania
31,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-03,Argentina,ARG,1,0,M-222,Olazar,Francisco,Argentina
32,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-03,Argentina,ARG,1,0,M-325,Tramutola,Juan José,Argentina
33,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,1930-07-22,group stage,Group 1,T-13,Chile,CHL,0,1,M-228,Orth,György,Hungary
34,WC-1930,1930 FIFA World Cup,M-1930-16,Argentina v United States,1930-07-26,semi-finals,not applicable,T-03,Argentina,ARG,1,0,M-222,Olazar,Francisco,Argentina
35,WC-1930,1930 FIFA World Cup,M-1930-16,Argentina v United States,1930-07-26,semi-finals,not applicable,T-03,Argentina,ARG,1,0,M-325,Tramutola,Juan José,Argentina
36,WC-1930,1930 FIFA World Cup,M-1930-16,Argentina v United States,1930-07-26,semi-finals,not applicable,T-79,United States,USA,0,1,M-200,Millar,Robert,Scotland
37,WC-1930,1930 FIFA World Cup,M-1930-17,Uruguay v Yugoslavia,1930-07-27,semi-finals,not applicable,T-80,Uruguay,URY,1,0,M-313,Suppici,Alberto,Uruguay
38,WC-1930,1930 FIFA World Cup,M-1930-17,Uruguay v Yugoslavia,1930-07-27,semi-finals,not applicable,T-83,Yugoslavia,YUG,0,1,M-303,Simonović,Boško,Yugoslavia
39,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,1930-07-30,final,not applicable,T-80,Uruguay,URY,1,0,M-313,Suppici,Alberto,Uruguay
40,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,1930-07-30,final,not applicable,T-03,Argentina,ARG,0,1,M-222,Olazar,Francisco,Argentina
41,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,1930-07-30,final,not applicable,T-03,Argentina,ARG,0,1,M-325,Tramutola,Juan José,Argentina
42,WC-1934,1934 FIFA World Cup,M-1934-01,Austria v France,1934-05-27,round of 16,not applicable,T-05,Austria,AUT,1,0,M-188,Meisl,Hugo,Austria
43,WC-1934,1934 FIFA World Cup,M-1934-01,Austria v France,1934-05-27,round of 16,not applicable,T-28,France,FRA,0,1,M-147,Kimpton,George,England
44,WC-1934,1934 FIFA World Cup,M-1934-02,Czechoslovakia v Romania,1934-05-27,round of 16,not applicable,T-20,Czechoslovakia,CSK,1,0,M-242,Petrů,Karel,Czechoslovakia
45,WC-1934,1934 FIFA World Cup,M-1934-02,Czechoslovakia v Romania,1934-05-27,round of 16,not applicable,T-58,Romania,ROU,0,1,M-260,Rădulescu,Costel,Romania
46,WC-1934,1934 FIFA World Cup,M-1934-02,Czechoslovakia v Romania,1934-05-27,round of 16,not applicable,T-58,Romania,ROU,0,1,M-329,Uridil,Josef,Romania
47,WC-1934,1934 FIFA World Cup,M-1934-03,Germany v Belgium,1934-05-27,round of 16,not applicable,T-29,Germany,DEU,1,0,M-216,Nerz,Otto,Germany
48,WC-1934,1934 FIFA World Cup,M-1934-03,Germany v Belgium,1934-05-27,round of 16,not applicable,T-06,Belgium,BEL,0,1,M-099,Goetinck,Hector,Belgium
49,WC-1934,1934 FIFA World Cup,M-1934-04,Hungary v Egypt,1934-05-27,round of 16,not applicable,T-34,Hungary,HUN,1,0,M-211,Nádas,Ödön,Hungary
50,WC-1934,1934 FIFA World Cup,M-1934-04,Hungary v Egypt,1934-05-27,round of 16,not applicable,T-25,Egypt,EGY,0,1,M-187,McCrae,James,Scotland
51,WC-1934,1934 FIFA World Cup,M-1934-05,Italy v United States,1934-05-27,round of 16,not applicable,T-39,Italy,ITA,1,0,M-253,Pozzo,Vittorio,Italy
52,WC-1934,1934 FIFA World Cup,M-1934-05,Italy v United States,1934-05-27,round of 16,not applicable,T-79,United States,USA,0,1,M-104,Gould,David,United States
53,WC-1934,1934 FIFA World Cup,M-1934-06,Spain v Brazil,1934-05-27,round of 16,not applicable,T-70,Spain,ESP,1,0,M-093,García,Amadeo,Spain
54,WC-1934,1934 FIFA World Cup,M-1934-06,Spain v Brazil,1934-05-27,round of 16,not applicable,T-09,Brazil,BRA,0,1,M-343,Vinhaes,Luiz,Brazil
55,WC-1934,1934 FIFA World Cup,M-1934-07,Sweden v Argentina,1934-05-27,round of 16,not applicable,T-71,Sweden,SWE,1,0,M-243,Pettersson,John,Sweden
