key_id,manager_id,family_name,given_name,female,country_name,manager_wikipedia_link
1,M-001,Acosta,Nelson,0,Uruguay,https://en.wikipedia.org/wiki/Nelson_Acosta
2,M-002,Addo,Otto,0,Ghana,https://en.wikipedia.org/wiki/Otto_Addo
3,M-003,Adshead,John,0,England,https://en.wikipedia.org/wiki/John_Adshead
4,M-004,Advocaat,Dick,0,Netherlands,https://en.wikipedia.org/wiki/Dick_Advocaat
5,M-005,Afranie,Emmanual Kwasi,0,Ghana,https://en.wikipedia.org/wiki/Emmanuel_Kwasi_Afranie
6,M-006,Aguirre,Javier,0,Mexico,https://en.wikipedia.org/wiki/Javier_Aguirre
7,M-007,Al-Gohari,Mahmoud,0,Egypt,https://en.wikipedia.org/wiki/Mahmoud_Al-Gohari
8,M-008,Al-Johar,Nasser,0,Saudi Arabia,https://en.wikipedia.org/wiki/Nasser_Al-Johar
9,M-009,Al-Kharashy,Mohammed,0,Brazil,https://en.wikipedia.org/wiki/Mohammed_Al-Kharashy
10,M-010,Álamos,Luis,0,Chile,https://en.wikipedia.org/wiki/Luis_%C3%81lamos
11,M-011,Alfaro,Gustavo,0,Argentina,https://en.wikipedia.org/wiki/Gustavo_Alfaro
12,M-012,Alonso,Diego,0,Uruguay,https://en.wikipedia.org/wiki/Diego_Alonso
13,M-013,An,Jong-goan,0,South Korea,https://en.wikipedia.org/wiki/An_Jong-goan
14,M-014,Andersson,Janne,0,Sweden,https://en.wikipedia.org/wiki/Janne_Andersson
15,M-015,Andreoli,Franco,0,Switzerland,https://en.wikipedia.org/wiki/Franco_Andreoli
16,M-016,Antić,Radomir,0,Serbia,https://en.wikipedia.org/wiki/Radomir_Anti%C4%87
17,M-017,Appiah,James Kwesi,0,Ghana,https://en.wikipedia.org/wiki/James_Kwesi_Appiah
18,M-018,Aragonés,Luis,0,Spain,https://en.wikipedia.org/wiki/Luis_Aragon%C3%A9s
19,M-019,Arauz,Vanessa,1,Ecuador,https://en.wikipedia.org/wiki/Vanessa_Arauz
20,M-020,Arena,Bruce,0,United States,https://en.wikipedia.org/wiki/Bruce_Arena
21,M-021,Argauer,Karl,0,Austria,https://en.wikipedia.org/wiki/Karl_Argauer
22,M-022,Arnold,Graham,0,Australia,https://en.wikipedia.org/wiki/Graham_Arnold
23,M-023,Arsenijević,Milorad,0,Yugoslavia,https://en.wikipedia.org/wiki/Milorad_Arsenijevi%C4%87
24,M-024,Aryee,Oko,0,Ghana,https://en.wikipedia.org/wiki/Oko_Aryee
25,M-025,Azkargorta,Xabier,0,Spain,https://en.wikipedia.org/wiki/Xabier_Azkargorta
26,M-026,Barcellos,Jorge,0,Brazil,https://en.wikipedia.org/wiki/Jorge_Barcellos
27,M-027,Baróti,Lajos,0,Hungary,https://en.wikipedia.org/wiki/Lajos_Bar%C3%B3ti
28,M-028,Barreau,Gaston,0,France,https://en.wikipedia.org/wiki/Gaston_Barreau
29,M-029,Basile,Alfio,0,Argentina,https://en.wikipedia.org/wiki/Alfio_Basile
30,M-030,Batteux,Albert,0,France,https://en.wikipedia.org/wiki/Albert_Batteux
31,M-031,Bearzot,Enzo,0,Italy,https://en.wikipedia.org/wiki/Enzo_Bearzot
32,M-032,Beattie,Andy,0,Scotland,https://en.wikipedia.org/wiki/Andy_Beattie
33,M-033,Beckenbauer,Franz,0,Germany,https://en.wikipedia.org/wiki/Franz_Beckenbauer
34,M-034,Beenhakker,Leo,0,Netherlands,https://en.wikipedia.org/wiki/Leo_Beenhakker
35,M-035,Béliveau,Sylvie,1,Canada,https://en.wikipedia.org/wiki/Sylvie_B%C3%A9liveau
36,M-036,Bento,Paulo,0,Portugal,https://en.wikipedia.org/wiki/Paulo_Bento
37,M-037,Bergeroo,Philippe,0,France,https://en.wikipedia.org/wiki/Philippe_Bergeroo
