key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
1,P-35894,A'Court,Alan,1934-09-30,0,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Alan_A%27Court
2,P-29915,Aarønes,Ann Kristin,1973-01-19,1,0,0,1,1,2,"1995, 1999",https://en.wikipedia.org/wiki/Ann_Kristin_Aar%C3%B8nes
3,P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson
4,P-04189,Abadzhiev,Stefan,1934-07-03,0,0,0,0,1,1,1966,https://en.wikipedia.org/wiki/Stefan_Abadzhiev
5,P-03523,Abalo,Jean-Paul,1975-06-26,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo
6,P-84073,Abam,Michaela,1997-06-13,1,0,0,1,0,1,2019,https://en.wikipedia.org/wiki/Michaela_Abam
7,P-35138,Abanda,Patrice,1978-08-03,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Patrice_Abanda
8,P-05170,Abass,Hamdya,1982-08-01,1,0,1,0,0,1,2007,https://en.wikipedia.org/wiki/Hamdya_Abass
9,P-75462,Abate,Ignazio,1986-11-12,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate
10,P-78277,Abbadie,Julio,1930-09-07,0,0,0,0,1,1,1954,https://en.wikipedia.org/wiki/Julio_Abbadie
11,P-07698,Abbé,Caroline,1988-01-13,1,0,1,0,0,1,2015,https://en.wikipedia.org/wiki/Caroline_Abb%C3%A9
12,P-02042,Abbes,Claude,1927-05-24,0,1,0,0,0,2,"1954, 1958",https://en.wikipedia.org/wiki/Claude_Abbes
13,P-81393,Abbiati,Christian,1977-07-08,0,1,0,0,0,1,2002,https://en.wikipedia.org/wiki/Christian_Abbiati
14,P-86290,Abbondanzieri,Roberto,1972-08-19,0,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri
15,P-29132,Abd Al-Jawad,Mohamed,1962-11-28,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Mohamed_Abd_Al-Jawad
16,P-26446,Abdel Rahman,Adel,1967-12-11,0,0,0,0,1,1,1990,https://en.wikipedia.org/wiki/Adel_Abdel_Rahman
17,P-29161,Abdel Shafy,Mohamed,1985-07-01,0,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy
18,P-73679,Abdel-Hamid,Gamal,1957-11-24,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Gamal_Abdel-Hamid
19,P-62193,Abdelghani,Magdi,1959-07-27,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Magdi_Abdelghani
20,P-61342,Abdellah,Nacer,1966-03-03,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Nacer_Abdellah
21,P-64924,Abdi,Ali,1993-12-20,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Ali_Abdi_(footballer)
22,P-98081,Abdollahi,Nasrollah,1951-09-02,0,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Nasrollah_Abdollahi
23,P-94880,Abdoun,Djamel,1986-02-14,0,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Djamel_Abdoun
