key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,referee_id,family_name,given_name,country_name,confederation_id,confederation_name,confederation_code
1,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,1930-07-13,group stage,Group 1,R-251,Lombardi,Domingo,Uruguay,CF-4,South American Football Confederation,CONMEBOL
2,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,1930-07-13,group stage,Group 4,R-260,Macías,José,Argentina,CF-4,South American Football Confederation,CONMEBOL
3,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,1930-07-14,group stage,Group 2,R-430,Tejada,Aníbal,Uruguay,CF-4,South American Football Confederation,CONMEBOL
4,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,1930-07-14,group stage,Group 3,R-472,Warnken,Alberto,Chile,CF-4,South American Football Confederation,CONMEBOL
5,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,1930-07-15,group stage,Group 1,R-116,de Almeida Rêgo,Gilberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
6,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,1930-07-16,group stage,Group 1,R-091,Christophe,Henri,Belgium,CF-6,Union of European Football Associations,UEFA
7,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,1930-07-17,group stage,Group 2,R-280,Mateucci,Francisco,Uruguay,CF-4,South American Football Confederation,CONMEBOL
8,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,1930-07-17,group stage,Group 4,R-260,Macías,José,Argentina,CF-4,South American Football Confederation,CONMEBOL
9,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,1930-07-18,group stage,Group 3,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
10,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,1930-07-19,group stage,Group 1,R-430,Tejada,Aníbal,Uruguay,CF-4,South American Football Confederation,CONMEBOL
11,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,1930-07-19,group stage,Group 1,R-391,Saucedo,Ulises,Bolivia,CF-4,South American Football Confederation,CONMEBOL
12,WC-1930,1930 FIFA Men's World Cup,M-1930-12,Brazil vs Bolivia,1930-07-20,group stage,Group 2,R-039,Balvay,Thomas,France,CF-6,Union of European Football Associations,UEFA
13,WC-1930,1930 FIFA Men's World Cup,M-1930-13,Paraguay vs Belgium,1930-07-20,group stage,Group 4,R-449,Vallarino,Ricardo,Uruguay,CF-4,South American Football Confederation,CONMEBOL
14,WC-1930,1930 FIFA Men's World Cup,M-1930-14,Uruguay vs Romania,1930-07-21,group stage,Group 3,R-116,de Almeida Rêgo,Gilberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
15,WC-1930,1930 FIFA Men's World Cup,M-1930-15,Argentina vs Chile,1930-07-22,group stage,Group 1,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
16,WC-1930,1930 FIFA Men's World Cup,M-1930-16,Argentina vs United States,1930-07-26,semi-finals,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
17,WC-1930,1930 FIFA Men's World Cup,M-1930-17,Uruguay vs Yugoslavia,1930-07-27,semi-finals,not applicable,R-116,de Almeida Rêgo,Gilberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
18,WC-1930,1930 FIFA Men's World Cup,M-1930-18,Uruguay vs Argentina,1930-07-30,final,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
19,WC-1934,1934 FIFA Men's World Cup,M-1934-01,Austria vs France,1934-05-27,round of 16,not applicable,R-454,van Moorsel,Johannes,Netherlands,CF-6,Union of European Football Associations,UEFA
20,WC-1934,1934 FIFA Men's World Cup,M-1934-02,Czechoslovakia vs Romania,1934-05-27,round of 16,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
21,WC-1934,1934 FIFA Men's World Cup,M-1934-03,Germany vs Belgium,1934-05-27,round of 16,not applicable,R-284,Mattea,Francesco,Italy,CF-6,Union of European Football Associations,UEFA
22,WC-1934,1934 FIFA Men's World Cup,M-1934-04,Hungary vs Egypt,1934-05-27,round of 16,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
23,WC-1934,1934 FIFA Men's World Cup,M-1934-05,Italy vs United States,1934-05-27,round of 16,not applicable,R-296,Mercet,René,Switzerland,CF-6,Union of European Football Associations,UEFA
24,WC-1934,1934 FIFA Men's World Cup,M-1934-06,Spain vs Brazil,1934-05-27,round of 16,not applicable,R-056,Birlem,Alfred,Germany,CF-6,Union of European Football Associations,UEFA
25,WC-1934,1934 FIFA Men's World Cup,M-1934-07,Sweden vs Argentina,1934-05-27,round of 16,not applicable,R-065,Braun,Eugen,Austria,CF-6,Union of European Football Associations,UEFA
26,WC-1934,1934 FIFA Men's World Cup,M-1934-08,Switzerland vs Netherlands,1934-05-27,round of 16,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
27,WC-1934,1934 FIFA Men's World Cup,M-1934-09,Austria vs Hungary,1934-05-31,quarter-finals,not applicable,R-284,Mattea,Francesco,Italy,CF-6,Union of European Football Associations,UEFA
28,WC-1934,1934 FIFA Men's World Cup,M-1934-10,Czechoslovakia vs Switzerland,1934-05-31,quarter-finals,not applicable,R-054,Beranek,Alois,Austria,CF-6,Union of European Football Associations,UEFA
29,WC-1934,1934 FIFA Men's World Cup,M-1934-11,Germany vs Sweden,1934-05-31,quarter-finals,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
30,WC-1934,1934 FIFA Men's World Cup,M-1934-12,Italy vs Spain,1934-05-31,quarter-finals,not applicable,R-034,Baert,Louis,Belgium,CF-6,Union of European Football Associations,UEFA
