key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
1,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-69244,Bossio,Ángel,0,goal keeper,GK
2,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-23160,Botasso,Juan,0,goal keeper,GK
3,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-99230,Cherro,Roberto,0,forward,FW
4,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-41921,Chividini,Alberto,0,defender,DF
5,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-22739,Della Torre,José,0,defender,DF
6,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-30720,Demaría,Attilio,0,forward,FW
7,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-30543,Evaristo,Juan,0,midfielder,MF
8,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-23897,Evaristo,Mario,0,forward,FW
9,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-60505,Ferreira,Manuel,0,forward,FW
10,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-25760,Monti,Luis,0,midfielder,MF
11,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-49556,Muttis,Ramón,0,defender,DF
12,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-91238,Orlandini,Rodolfo,0,midfielder,MF
13,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-58537,Paternoster,Fernando,0,defender,DF
14,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-24312,Perinetti,Natalio,0,forward,FW
15,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-70166,Peucelle,Carlos,0,forward,FW
16,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-49151,Piaggio,Edmundo,0,defender,DF
17,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-44916,Scopelli,Alejandro,0,forward,FW
18,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-21441,Spadaro,Carlos,0,forward,FW
19,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-56486,Stábile,Guillermo,0,forward,FW
20,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-56908,Suárez,Arico,0,midfielder,MF
21,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-37326,Varallo,Francisco,0,forward,FW
22,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-76546,Zumelzú,Adolfo,0,midfielder,MF
23,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-92795,Adams,Ferdinand,0,forward,FW
24,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-20690,Badjou,Arnold,0,goal keeper,GK
25,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-40714,Braine,Pierre,0,midfielder,MF
26,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-41990,Chantraine,Alexis,0,midfielder,MF
27,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-97126,De Bie,Jean,0,goal keeper,GK
28,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-93713,De Clercq,Jean,0,midfielder,MF
29,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-41710,De Deken,Henri,0,defender,DF
30,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-45315,Delbeke,Gérard,0,midfielder,MF
31,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-16891,Diddens,Jan,0,forward,FW
32,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-61253,Hellemans,August,0,midfielder,MF
33,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-44475,Hoydonckx,Nic,0,defender,DF
34,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-74839,Moeschal,Jacques,0,forward,FW
35,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-46390,Nouwens,Theodore,0,defender,DF
36,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-28503,Saeys,André,0,forward,FW
37,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-69286,Versyp,Louis,0,forward,FW
38,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-85443,Voorhoof,Bernard,0,forward,FW
39,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-43807,Alborta,Mario,0,forward,FW
40,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-62751,Argote,Juan,0,midfielder,MF
41,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-95008,Bermúdez,Jesús,0,goal keeper,GK
42,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-97354,Brito,Miguel,0,midfielder,MF
43,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-16019,Bustamante,José,0,forward,FW
44,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-36835,Chavarría,Casiano,0,defender,DF
45,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-69877,Durandal,Segundo,0,defender,DF
46,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-61667,Fernández,René,0,forward,FW
47,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-48216,Gómez,Gumercindo,0,forward,FW
48,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-92600,Lara,Diógenes,0,midfielder,MF
49,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-84833,Méndez,Rafael,0,forward,FW
50,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-92838,Murillo,Miguel,0,goal keeper,GK
51,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-93364,Noya,Constantino,0,midfielder,MF
52,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-56114,Reyes Ortiz,Eduardo,0,forward,FW
53,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-35684,Reyes Peñaranda,Luis,0,defender,DF
54,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-00369,Sáinz,Renato,0,midfielder,MF
55,WC-1930,1930 FIFA Men's World Cup,T-07,Bolivia,BOL,P-67934,Valderrama,Jorge,0,midfielder,MF
56,WC-1930,1930 FIFA Men's World Cup,T-09,Brazil,BRA,P-13299,Araken,not applicable,0,forward,FW
57,WC-1930,1930 FIFA Men's World Cup,T-09,Brazil,BRA,P-70170,Benedicto,not applicable,0,forward,FW
58,WC-1930,1930 FIFA Men's World Cup,T-09,Brazil,BRA,P-11648,Benvenuto,not applicable,0,midfielder,MF
