key_id,substitution_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,minute_label,minute_regulation,minute_stoppage,match_period,going_off,coming_on
1,S-0001,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-70,Soviet Union,SUN,0,1,P-04378,Serebryanikov,Viktor,15,46',46,0,second half,1,0
2,S-0002,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-70,Soviet Union,SUN,0,1,P-03867,Puzach,Anatoliy,20,46',46,0,second half,0,1
3,S-0003,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-70,Soviet Union,SUN,0,1,P-09857,Nodia,Givi,19,66',66,0,second half,1,0
4,S-0004,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-70,Soviet Union,SUN,0,1,P-06447,Khmelnitsky,Vitaly,21,66',66,0,second half,0,1
5,S-0005,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-44,Mexico,MEX,1,0,P-09268,Velarde,Mario,18,67',67,0,second half,1,0
6,S-0006,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-44,Mexico,MEX,1,0,P-04809,Munguía,Antonio,8,67',67,0,second half,0,1
7,S-0007,WC-1970,1970 FIFA World Cup,M-1970-02,Uruguay v Israel,1970-06-02,group stage,Group 2,T-81,Uruguay,URY,1,0,P-08628,Rocha,Pedro,8,12',12,0,first half,1,0
8,S-0008,WC-1970,1970 FIFA World Cup,M-1970-02,Uruguay v Israel,1970-06-02,group stage,Group 2,T-81,Uruguay,URY,1,0,P-00004,Cortés,Julio César,20,12',12,0,first half,0,1
9,S-0009,WC-1970,1970 FIFA World Cup,M-1970-02,Uruguay v Israel,1970-06-02,group stage,Group 2,T-38,Israel,ISR,0,1,P-09060,Talbi,Rachamim,15,46',46,0,second half,1,0
10,S-0010,WC-1970,1970 FIFA World Cup,M-1970-02,Uruguay v Israel,1970-06-02,group stage,Group 2,T-38,Israel,ISR,0,1,P-02124,Bar,Shraga,2,46',46,0,second half,0,1
11,S-0011,WC-1970,1970 FIFA World Cup,M-1970-02,Uruguay v Israel,1970-06-02,group stage,Group 2,T-38,Israel,ISR,0,1,P-04692,Shmulevich-Rom,Danny,14,57',57,0,second half,1,0
12,S-0012,WC-1970,1970 FIFA World Cup,M-1970-02,Uruguay v Israel,1970-06-02,group stage,Group 2,T-38,Israel,ISR,0,1,P-01619,Vollach,Yochanan,16,57',57,0,second half,0,1
13,S-0013,WC-1970,1970 FIFA World Cup,M-1970-03,England v Romania,1970-06-02,group stage,Group 3,T-27,England,ENG,1,0,P-00193,Newton,Keith,2,51',51,0,second half,1,0
14,S-0014,WC-1970,1970 FIFA World Cup,M-1970-03,England v Romania,1970-06-02,group stage,Group 3,T-27,England,ENG,1,0,P-00157,Wright,Tommy,14,51',51,0,second half,0,1
15,S-0015,WC-1970,1970 FIFA World Cup,M-1970-03,England v Romania,1970-06-02,group stage,Group 3,T-59,Romania,ROU,0,1,P-08467,Tătaru,Gheorghe,17,73',73,0,second half,1,0
16,S-0016,WC-1970,1970 FIFA World Cup,M-1970-03,England v Romania,1970-06-02,group stage,Group 3,T-59,Romania,ROU,0,1,P-04777,Neagu,Alexandru,16,73',73,0,second half,0,1
17,S-0017,WC-1970,1970 FIFA World Cup,M-1970-03,England v Romania,1970-06-02,group stage,Group 3,T-27,England,ENG,1,0,P-02882,Lee,Francis,7,75',75,0,second half,1,0
18,S-0018,WC-1970,1970 FIFA World Cup,M-1970-03,England v Romania,1970-06-02,group stage,Group 3,T-27,England,ENG,1,0,P-02229,Osgood,Peter,20,75',75,0,second half,0,1
19,S-0019,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-54,Peru,PER,1,0,P-05686,Campos,Eloy,2,29',29,0,first half,1,0
20,S-0020,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-54,Peru,PER,1,0,P-00276,González,Javier,15,29',29,0,first half,0,1
21,S-0021,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-54,Peru,PER,1,0,P-05991,Baylón,Julio,8,51',51,0,second half,1,0
22,S-0022,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-54,Peru,PER,1,0,P-08025,Sotil,Hugo,20,51',51,0,second half,0,1
23,S-0023,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-02583,Popov,Georgi,7,59',59,0,second half,1,0
24,S-0024,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-00985,Marashliev,Dimitar,18,59',59,0,second half,0,1
25,S-0025,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-04912,Bonev,Hristo,8,73',73,0,second half,1,0
26,S-0026,WC-1970,1970 FIFA World Cup,M-1970-04,Peru v Bulgaria,1970-06-02,group stage,Group 4,T-10,Bulgaria,BGR,0,1,P-02376,Asparuhov,Georgi,19,73',73,0,second half,0,1
27,S-0027,WC-1970,1970 FIFA World Cup,M-1970-05,Belgium v El Salvador,1970-06-03,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-08736,Manzano,Mauricio,14,67',67,0,second half,1,0
28,S-0028,WC-1970,1970 FIFA World Cup,M-1970-05,Belgium v El Salvador,1970-06-03,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-06569,Cortés,Santiago,4,67',67,0,second half,0,1
29,S-0029,WC-1970,1970 FIFA World Cup,M-1970-05,Belgium v El Salvador,1970-06-03,group stage,Group 1,T-06,Belgium,BEL,1,0,P-08112,Semmeling,Léon,7,79',79,0,second half,1,0
30,S-0030,WC-1970,1970 FIFA World Cup,M-1970-05,Belgium v El Salvador,1970-06-03,group stage,Group 1,T-06,Belgium,BEL,1,0,P-06612,Polleunis,Odilon,16,79',79,0,second half,0,1
31,S-0031,WC-1970,1970 FIFA World Cup,M-1970-05,Belgium v El Salvador,1970-06-03,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-07219,Rodríguez,Mauricio,7,80',80,0,second half,1,0
32,S-0032,WC-1970,1970 FIFA World Cup,M-1970-05,Belgium v El Salvador,1970-06-03,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-07755,Sarmeno,Genaro,16,80',80,0,second half,0,1
33,S-0033,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-39,Italy,ITA,1,0,P-00925,Niccolai,Comunardo,7,37',37,0,first half,1,0
34,S-0034,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-39,Italy,ITA,1,0,P-05738,Rosato,Roberto,8,37',37,0,first half,0,1
35,S-0035,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-72,Sweden,SWE,0,1,P-00895,Eriksson,Leif,8,68',68,0,second half,1,0
36,S-0036,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-72,Sweden,SWE,0,1,P-07231,Ejderstedt,Inge,21,68',68,0,second half,0,1
