key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,team_id,team_name,team_code,opponent_id,opponent_name,opponent_code,home_team,away_team,goals_for,goals_against,goal_differential,extra_time,penalty_shootout,penalties_for,penalties_against,result,win,lose,draw
1,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-240,Estadio Pocitos,Montevideo,Uruguay,T-30,France,FRA,T-46,Mexico,MEX,1,0,4,1,3,0,0,0,0,win,1,0,0
2,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-240,Estadio Pocitos,Montevideo,Uruguay,T-46,Mexico,MEX,T-30,France,FRA,0,1,1,4,-3,0,0,0,0,lose,0,1,0
3,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,United States,USA,T-06,Belgium,BEL,1,0,3,0,3,0,0,0,0,win,1,0,0
4,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-06,Belgium,BEL,T-83,United States,USA,0,1,0,3,-3,0,0,0,0,lose,0,1,0
5,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-87,Yugoslavia,YUG,T-09,Brazil,BRA,1,0,2,1,1,0,0,0,0,win,1,0,0
6,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-09,Brazil,BRA,T-87,Yugoslavia,YUG,0,1,1,2,-1,0,0,0,0,lose,0,1,0
7,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-240,Estadio Pocitos,Montevideo,Uruguay,T-61,Romania,ROU,T-56,Peru,PER,1,0,3,1,2,0,0,0,0,win,1,0,0
8,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-240,Estadio Pocitos,Montevideo,Uruguay,T-56,Peru,PER,T-61,Romania,ROU,0,1,1,3,-2,0,0,0,0,lose,0,1,0
9,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-30,France,FRA,1,0,1,0,1,0,0,0,0,win,1,0,0
10,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-30,France,FRA,T-03,Argentina,ARG,0,1,0,1,-1,0,0,0,0,lose,0,1,0
11,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-46,Mexico,MEX,1,0,3,0,3,0,0,0,0,win,1,0,0
12,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-46,Mexico,MEX,T-13,Chile,CHL,0,1,0,3,-3,0,0,0,0,lose,0,1,0
13,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-87,Yugoslavia,YUG,T-07,Bolivia,BOL,1,0,4,0,4,0,0,0,0,win,1,0,0
14,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-07,Bolivia,BOL,T-87,Yugoslavia,YUG,0,1,0,4,-4,0,0,0,0,lose,0,1,0
15,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,United States,USA,T-55,Paraguay,PRY,1,0,3,0,3,0,0,0,0,win,1,0,0
16,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-55,Paraguay,PRY,T-83,United States,USA,0,1,0,3,-3,0,0,0,0,lose,0,1,0
17,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-56,Peru,PER,1,0,1,0,1,0,0,0,0,win,1,0,0
18,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-238,Estadio Centenario,Montevideo,Uruguay,T-56,Peru,PER,T-84,Uruguay,URY,0,1,0,1,-1,0,0,0,0,lose,0,1,0
19,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-238,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-30,France,FRA,1,0,1,0,1,0,0,0,0,win,1,0,0
20,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-238,Estadio Centenario,Montevideo,Uruguay,T-30,France,FRA,T-13,Chile,CHL,0,1,0,1,-1,0,0,0,0,lose,0,1,0
21,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-46,Mexico,MEX,1,0,6,3,3,0,0,0,0,win,1,0,0
22,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-46,Mexico,MEX,T-03,Argentina,ARG,0,1,3,6,-3,0,0,0,0,lose,0,1,0
23,WC-1930,1930 FIFA Men's World Cup,M-1930-12,Brazil vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-20,13:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-09,Brazil,BRA,T-07,Bolivia,BOL,1,0,4,0,4,0,0,0,0,win,1,0,0
24,WC-1930,1930 FIFA Men's World Cup,M-1930-12,Brazil vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-20,13:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-07,Bolivia,BOL,T-09,Brazil,BRA,0,1,0,4,-4,0,0,0,0,lose,0,1,0
25,WC-1930,1930 FIFA Men's World Cup,M-1930-13,Paraguay vs Belgium,group stage,Group 4,1,0,0,0,1930-07-20,15:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-55,Paraguay,PRY,T-06,Belgium,BEL,1,0,1,0,1,0,0,0,0,win,1,0,0
