key_id,team_id,team_name,team_code,mens_team,womens_team,federation_name,region_name,confederation_id,confederation_name,confederation_code,mens_team_wikipedia_link,womens_team_wikipedia_link,federation_wikipedia_link
1,T-01,Algeria,DZA,1,0,Algerian Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Algeria_national_football_team,not applicable,https://en.wikipedia.org/wiki/Algerian_Football_Federation
2,T-02,Angola,AGO,1,0,Angolan Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Angola_national_football_team,not applicable,https://en.wikipedia.org/wiki/Angolan_Football_Federation
3,T-03,Argentina,ARG,1,1,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
4,T-04,Australia,AUS,1,1,Football Australia,Oceania,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Australia_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/Australia_women's_national_soccer_team,https://en.wikipedia.org/wiki/Football_Australia
5,T-05,Austria,AUT,1,0,Austrian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Austria_national_football_team,not applicable,https://en.wikipedia.org/wiki/Austrian_Football_Association
6,T-06,Belgium,BEL,1,0,Royal Belgian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Belgium_national_football_team,not applicable,https://en.wikipedia.org/wiki/Royal_Belgian_Football_Association
7,T-07,Bolivia,BOL,1,0,Bolivian Football Federation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Bolivia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Bolivian_Football_Federation
8,T-08,Bosnia and Herzegovina,BIH,1,0,Football Association of Bosnia and Herzegovina,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Bosnia_and_Herzegovina
9,T-09,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
10,T-10,Bulgaria,BGR,1,0,Bulgarian Football Union,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bulgaria_national_football_team,not applicable,https://en.wikipedia.org/wiki/Bulgarian_Football_Union
11,T-11,Cameroon,CMR,1,1,Cameroonian Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Cameroon_national_football_team,https://en.wikipedia.org/wiki/Cameroon_women's_national_football_team,https://en.wikipedia.org/wiki/Cameroonian_Football_Federation
12,T-12,Canada,CAN,1,1,Canadian Soccer Association,North America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Canada_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/Canada_women's_national_soccer_team,https://en.wikipedia.org/wiki/Canadian_Soccer_Association
13,T-13,Chile,CHL,1,1,Football Federation of Chile,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Chile_national_football_team,https://en.wikipedia.org/wiki/Chile_women's_national_football_team,https://en.wikipedia.org/wiki/Football_Federation_of_Chile
14,T-14,China,CHN,1,1,Chinese Football Association,East Asia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/China_national_football_team,https://en.wikipedia.org/wiki/China_women's_national_football_team,https://en.wikipedia.org/wiki/Chinese_Football_Association
15,T-15,Chinese Taipei,TWN,0,1,Chinese Taipei Football Association,East Asia,CF-1,Asian Football Confederation,AFC,not applicable,https://en.wikipedia.org/wiki/Chinese_Taipei_women's_national_football_team,https://en.wikipedia.org/wiki/Chinese_Taipei_Football_Association
16,T-16,Colombia,COL,1,1,Colombia Football Federation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Colombia_national_football_team,https://en.wikipedia.org/wiki/Colombia_women's_national_football_team,https://en.wikipedia.org/wiki/Colombian_Football_Federation
