tournament,year,award_id,award_name,shared,given_name,family_name,team_name
FIFA Men's World Cup,1930,A-4,Golden Boot,0,Guillermo,Stábile,Argentina
FIFA Men's World Cup,1930,A-5,Silver Boot,0,Pedro,Cea,Uruguay
FIFA Men's World Cup,1930,A-6,Bronze Boot,0,Bert,Patenaude,United States
FIFA Men's World Cup,1934,A-4,Golden Boot,0,Oldřich,Nejedlý,Czechoslovakia
FIFA Men's World Cup,1934,A-5,Silver Boot,1,Angelo,Schiavio,Italy
FIFA Men's World Cup,1934,A-5,Silver Boot,1,Edmund,Conen,Germany
FIFA Men's World Cup,1938,A-4,Golden Boot,0,not applicable,Leônidas,Brazil
FIFA Men's World Cup,1938,A-5,Silver Boot,1,György,Sárosi,Hungary
FIFA Men's World Cup,1938,A-5,Silver Boot,1,Gyula,Zsengellér,Hungary
FIFA Men's World Cup,1938,A-5,Silver Boot,1,Silvio,Piola,Italy
FIFA Men's World Cup,1950,A-4,Golden Boot,0,not applicable,Ademir,Brazil
FIFA Men's World Cup,1950,A-5,Silver Boot,0,Oscar,Míguez,Uruguay
FIFA Men's World Cup,1950,A-6,Bronze Boot,1,Alcides,Ghiggia,Uruguay
FIFA Men's World Cup,1950,A-6,Bronze Boot,1,not applicable,Chico,Brazil
FIFA Men's World Cup,1950,A-6,Bronze Boot,1,Estanislau,Basora,Spain
FIFA Men's World Cup,1950,A-6,Bronze Boot,1,Telmo,Zarra,Spain
FIFA Men's World Cup,1954,A-4,Golden Boot,0,Sándor,Kocsis,Hungary
FIFA Men's World Cup,1954,A-5,Silver Boot,1,Erich,Probst,Austria
FIFA Men's World Cup,1954,A-5,Silver Boot,1,Josef,Hügi,Switzerland
FIFA Men's World Cup,1954,A-5,Silver Boot,1,Max,Morlock,West Germany
FIFA Men's World Cup,1958,A-4,Golden Boot,0,Just,Fontaine,France
FIFA Men's World Cup,1958,A-5,Silver Boot,1,Helmut,Rahn,West Germany
FIFA Men's World Cup,1958,A-5,Silver Boot,1,not applicable,Pelé,Brazil
FIFA Men's World Cup,1958,A-8,Best Young Player,0,not applicable,Pelé,Brazil
FIFA Men's World Cup,1962,A-4,Golden Boot,1,Dražan,Jerković,Yugoslavia
FIFA Men's World Cup,1962,A-4,Golden Boot,1,Flórián,Albert,Hungary
FIFA Men's World Cup,1962,A-4,Golden Boot,1,not applicable,Garrincha,Brazil
FIFA Men's World Cup,1962,A-4,Golden Boot,1,Leonel,Sánchez,Chile
FIFA Men's World Cup,1962,A-4,Golden Boot,1,Valentin,Ivanov,Soviet Union
FIFA Men's World Cup,1962,A-4,Golden Boot,1,not applicable,Vavá,Brazil
FIFA Men's World Cup,1962,A-8,Best Young Player,0,Flórián,Albert,Hungary
FIFA Men's World Cup,1966,A-4,Golden Boot,0,not applicable,Eusébio,Portugal
FIFA Men's World Cup,1966,A-5,Silver Boot,0,Helmut,Haller,West Germany
FIFA Men's World Cup,1966,A-6,Bronze Boot,1,Ferenc,Bene,Hungary
FIFA Men's World Cup,1966,A-6,Bronze Boot,1,Franz,Beckenbauer,West Germany
FIFA Men's World Cup,1966,A-6,Bronze Boot,1,Geoff,Hurst,England
FIFA Men's World Cup,1966,A-6,Bronze Boot,1,Valeriy,Porkujan,Soviet Union
FIFA Men's World Cup,1966,A-8,Best Young Player,0,Franz,Beckenbauer,West Germany
FIFA Men's World Cup,1970,A-4,Golden Boot,0,Gerd,Müller,West Germany
FIFA Men's World Cup,1970,A-5,Silver Boot,0,not applicable,Jairzinho,Brazil
FIFA Men's World Cup,1970,A-6,Bronze Boot,0,Teófilo,Cubillas,Peru
FIFA Men's World Cup,1970,A-8,Best Young Player,0,Teófilo,Cubillas,Peru
FIFA Men's World Cup,1974,A-4,Golden Boot,0,Grzegorz,Lato,Poland
FIFA Men's World Cup,1974,A-5,Silver Boot,1,Andrzej,Szarmach,Poland
FIFA Men's World Cup,1974,A-5,Silver Boot,1,Johan,Neeskens,Netherlands
FIFA Men's World Cup,1974,A-8,Best Young Player,0,Władysław,Żmuda,Poland
FIFA Men's World Cup,1978,A-1,Golden Ball,0,Mario,Kempes,Argentina
FIFA Men's World Cup,1978,A-2,Silver Ball,0,Paolo,Rossi,Italy
FIFA Men's World Cup,1978,A-3,Bronze Ball,0,not applicable,Dirceu,Brazil
FIFA Men's World Cup,1978,A-4,Golden Boot,0,Mario,Kempes,Argentina
FIFA Men's World Cup,1978,A-5,Silver Boot,0,Teófilo,Cubillas,Peru
FIFA Men's World Cup,1978,A-6,Bronze Boot,0,Rob,Rensenbrink,Netherlands
FIFA Men's World Cup,1978,A-8,Best Young Player,0,Antonio,Cabrini,Italy
FIFA Men's World Cup,1982,A-1,Golden Ball,0,Paolo,Rossi,Italy
FIFA Men's World Cup,1982,A-2,Silver Ball,0,not applicable,Falcão,Brazil
FIFA Men's World Cup,1982,A-3,Bronze Ball,0,Karl-Heinz,Rummenigge,West Germany
FIFA Men's World Cup,1982,A-4,Golden Boot,0,Paolo,Rossi,Italy
FIFA Men's World Cup,1982,A-5,Silver Boot,0,Karl-Heinz,Rummenigge,West Germany
FIFA Men's World Cup,1982,A-6,Bronze Boot,0,not applicable,Zico,Brazil
FIFA Men's World Cup,1982,A-8,Best Young Player,0,Manuel,Amoros,France
FIFA Men's World Cup,1986,A-1,Golden Ball,0,Diego,Maradona,Argentina
FIFA Men's World Cup,1986,A-2,Silver Ball,0,Harald,Schumacher,West Germany
FIFA Men's World Cup,1986,A-3,Bronze Ball,0,Preben,Elkjær,Denmark
FIFA Men's World Cup,1986,A-4,Golden Boot,0,Gary,Lineker,England
FIFA Men's World Cup,1986,A-5,Silver Boot,1,not applicable,Careca,Brazil
FIFA Men's World Cup,1986,A-5,Silver Boot,1,Diego,Maradona,Argentina
FIFA Men's World Cup,1986,A-5,Silver Boot,1,Emilio,Butragueño,Spain
FIFA Men's World Cup,1986,A-8,Best Young Player,0,Enzo,Scifo,Belgium
FIFA Men's World Cup,1990,A-1,Golden Ball,0,Salvatore,Schillaci,Italy
FIFA Men's World Cup,1990,A-2,Silver Ball,0,Lothar,Matthäus,West Germany
FIFA Men's World Cup,1990,A-3,Bronze Ball,0,Diego,Maradona,Argentina
FIFA Men's World Cup,1990,A-4,Golden Boot,0,Salvatore,Schillaci,Italy
FIFA Men's World Cup,1990,A-5,Silver Boot,0,Tomáš,Skuhravý,Czechoslovakia
