year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1930,1,group stage,Group 1,1,Argentina,3,3,0,0,10,4,6,6,1
1930,1,group stage,Group 1,2,Chile,3,2,0,1,5,3,2,4,0
1930,1,group stage,Group 1,3,France,3,1,0,2,4,3,1,2,0
1930,1,group stage,Group 1,4,Mexico,3,0,0,3,4,13,-9,0,0
1930,1,group stage,Group 2,1,Yugoslavia,2,2,0,0,6,1,5,4,1
1930,1,group stage,Group 2,2,Brazil,2,1,0,1,5,2,3,2,0
1930,1,group stage,Group 2,3,Bolivia,2,0,0,2,0,8,-8,0,0
1930,1,group stage,Group 3,1,Uruguay,2,2,0,0,5,0,5,4,1
1930,1,group stage,Group 3,2,Romania,2,1,0,1,3,5,-2,2,0
1930,1,group stage,Group 3,3,Peru,2,0,0,2,1,4,-3,0,0
1930,1,group stage,Group 4,1,United States,2,2,0,0,6,0,6,4,1
1930,1,group stage,Group 4,2,Paraguay,2,1,0,1,1,3,-2,2,0
1930,1,group stage,Group 4,3,Belgium,2,0,0,2,0,4,-4,0,0
1950,1,first round,Group 1,1,Brazil,3,2,1,0,8,2,6,5,1
1950,1,first round,Group 1,2,Yugoslavia,3,2,0,1,7,3,4,4,0
1950,1,first round,Group 1,3,Switzerland,3,1,1,1,4,6,-2,3,0
1950,1,first round,Group 1,4,Mexico,3,0,0,3,2,10,-8,0,0
1950,1,first round,Group 2,1,Spain,3,3,0,0,6,1,5,6,1
1950,1,first round,Group 2,2,England,3,1,0,2,2,2,0,2,0
1950,1,first round,Group 2,3,Chile,3,1,0,2,5,6,-1,2,0
1950,1,first round,Group 2,4,United States,3,1,0,2,4,8,-4,2,0
1950,1,first round,Group 3,1,Sweden,2,1,1,0,5,4,1,3,1
1950,1,first round,Group 3,2,Italy,2,1,0,1,4,3,1,2,0
1950,1,first round,Group 3,3,Paraguay,2,0,1,1,2,4,-2,1,0
1950,1,first round,Group 4,1,Uruguay,1,1,0,0,8,0,8,2,1
1950,1,first round,Group 4,2,Bolivia,1,0,0,1,0,8,-8,0,0
1950,2,final round,Group 1,1,Uruguay,3,2,1,0,7,5,2,5,1
1950,2,final round,Group 1,2,Brazil,3,2,0,1,14,4,10,4,0
1950,2,final round,Group 1,3,Sweden,3,1,0,2,6,11,-5,2,0
1950,2,final round,Group 1,4,Spain,3,0,1,2,4,11,-7,1,0
1954,1,group stage,Group 1,1,Brazil,2,1,1,0,6,1,5,3,1
1954,1,group stage,Group 1,2,Yugoslavia,2,1,1,0,2,1,1,3,1
1954,1,group stage,Group 1,3,France,2,1,0,1,3,3,0,2,0
1954,1,group stage,Group 1,4,Mexico,2,0,0,2,2,8,-6,0,0
1954,1,group stage,Group 2,1,Hungary,2,2,0,0,17,3,14,4,1
1954,1,group stage,Group 2,2,West Germany,2,1,0,1,7,9,-2,2,1
1954,1,group stage,Group 2,3,Turkey,2,1,0,1,8,4,4,2,0
1954,1,group stage,Group 2,4,South Korea,2,0,0,2,0,16,-16,0,0
1954,1,group stage,Group 3,1,Uruguay,2,2,0,0,9,0,9,4,1
1954,1,group stage,Group 3,2,Austria,2,2,0,0,6,0,6,4,1
1954,1,group stage,Group 3,3,Czechoslovakia,2,0,0,2,0,7,-7,0,0
1954,1,group stage,Group 3,4,Scotland,2,0,0,2,0,8,-8,0,0
1954,1,group stage,Group 4,1,England,2,1,1,0,6,4,2,3,1
1954,1,group stage,Group 4,2,Switzerland,2,1,0,1,2,3,-1,2,1
1954,1,group stage,Group 4,3,Italy,2,1,0,1,5,3,2,2,0
1954,1,group stage,Group 4,4,Belgium,2,0,1,1,5,8,-3,1,0
1958,1,group stage,Group 1,1,West Germany,3,1,2,0,7,5,2,4,1
1958,1,group stage,Group 1,2,Northern Ireland,3,1,1,1,4,5,-1,3,1
1958,1,group stage,Group 1,3,Czechoslovakia,3,1,1,1,8,4,4,3,0
1958,1,group stage,Group 1,4,Argentina,3,1,0,2,5,10,-5,2,0
