key_id,tournament_id,tournament_name,team_id,team_name,team_code,count_matches,group_name,performance
1,WC-1930,1930 FIFA World Cup,T-03,Argentina,ARG,5,Group 1,final
2,WC-1930,1930 FIFA World Cup,T-06,Belgium,BEL,2,Group 4,group stage
3,WC-1930,1930 FIFA World Cup,T-07,Bolivia,BOL,2,Group 2,group stage
4,WC-1930,1930 FIFA World Cup,T-09,Brazil,BRA,2,Group 2,group stage
5,WC-1930,1930 FIFA World Cup,T-13,Chile,CHL,3,Group 1,group stage
6,WC-1930,1930 FIFA World Cup,T-28,France,FRA,3,Group 1,group stage
7,WC-1930,1930 FIFA World Cup,T-44,Mexico,MEX,3,Group 1,group stage
8,WC-1930,1930 FIFA World Cup,T-53,Paraguay,PRY,2,Group 4,group stage
9,WC-1930,1930 FIFA World Cup,T-54,Peru,PER,2,Group 3,group stage
10,WC-1930,1930 FIFA World Cup,T-58,Romania,ROU,2,Group 3,group stage
11,WC-1930,1930 FIFA World Cup,T-79,United States,USA,3,Group 4,semi-finals
12,WC-1930,1930 FIFA World Cup,T-80,Uruguay,URY,4,Group 3,final
13,WC-1930,1930 FIFA World Cup,T-83,Yugoslavia,YUG,3,Group 2,semi-finals
14,WC-1934,1934 FIFA World Cup,T-03,Argentina,ARG,1,not applicable,round of 16
15,WC-1934,1934 FIFA World Cup,T-05,Austria,AUT,4,not applicable,third-place match
16,WC-1934,1934 FIFA World Cup,T-06,Belgium,BEL,1,not applicable,round of 16
17,WC-1934,1934 FIFA World Cup,T-09,Brazil,BRA,1,not applicable,round of 16
18,WC-1934,1934 FIFA World Cup,T-20,Czechoslovakia,CSK,4,not applicable,final
19,WC-1934,1934 FIFA World Cup,T-25,Egypt,EGY,1,not applicable,round of 16
20,WC-1934,1934 FIFA World Cup,T-28,France,FRA,1,not applicable,round of 16
21,WC-1934,1934 FIFA World Cup,T-29,Germany,DEU,4,not applicable,third-place match
22,WC-1934,1934 FIFA World Cup,T-34,Hungary,HUN,2,not applicable,quarter-finals
23,WC-1934,1934 FIFA World Cup,T-39,Italy,ITA,5,not applicable,final
24,WC-1934,1934 FIFA World Cup,T-46,Netherlands,NLD,1,not applicable,round of 16
25,WC-1934,1934 FIFA World Cup,T-58,Romania,ROU,1,not applicable,round of 16
26,WC-1934,1934 FIFA World Cup,T-70,Spain,ESP,3,not applicable,quarter-finals
27,WC-1934,1934 FIFA World Cup,T-71,Sweden,SWE,2,not applicable,quarter-finals
28,WC-1934,1934 FIFA World Cup,T-72,Switzerland,CHE,2,not applicable,quarter-finals
29,WC-1934,1934 FIFA World Cup,T-79,United States,USA,1,not applicable,round of 16
30,WC-1938,1938 FIFA World Cup,T-06,Belgium,BEL,1,not applicable,round of 16
31,WC-1938,1938 FIFA World Cup,T-09,Brazil,BRA,5,not applicable,third-place match
32,WC-1938,1938 FIFA World Cup,T-18,Cuba,CUB,3,not applicable,quarter-finals
