tournament,year,match_name,match_date,stage_name,group_name,group_stage,knockout_stage,replayed,replay
FIFA Men's World Cup,1930,France vs Mexico,1930-07-13,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1930,United States vs Belgium,1930-07-13,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1930,Romania vs Peru,1930-07-14,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1930,Yugoslavia vs Brazil,1930-07-14,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1930,Argentina vs France,1930-07-15,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1930,Chile vs Mexico,1930-07-16,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1930,United States vs Paraguay,1930-07-17,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1930,Yugoslavia vs Bolivia,1930-07-17,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1930,Uruguay vs Peru,1930-07-18,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1930,Argentina vs Mexico,1930-07-19,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1930,Chile vs France,1930-07-19,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1930,Brazil vs Bolivia,1930-07-20,group stage,Group 2,1,0,0,0
FIFA Men's World Cup,1930,Paraguay vs Belgium,1930-07-20,group stage,Group 4,1,0,0,0
FIFA Men's World Cup,1930,Uruguay vs Romania,1930-07-21,group stage,Group 3,1,0,0,0
FIFA Men's World Cup,1930,Argentina vs Chile,1930-07-22,group stage,Group 1,1,0,0,0
FIFA Men's World Cup,1930,Argentina vs United States,1930-07-26,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1930,Uruguay vs Yugoslavia,1930-07-27,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1930,Uruguay vs Argentina,1930-07-30,final,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Austria vs France,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Czechoslovakia vs Romania,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Germany vs Belgium,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Hungary vs Egypt,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Italy vs United States,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Spain vs Brazil,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Sweden vs Argentina,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Switzerland vs Netherlands,1934-05-27,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Austria vs Hungary,1934-05-31,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Czechoslovakia vs Switzerland,1934-05-31,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Germany vs Sweden,1934-05-31,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Italy vs Spain,1934-05-31,quarter-finals,not applicable,0,1,1,0
FIFA Men's World Cup,1934,Italy vs Spain,1934-06-01,quarter-finals,not applicable,0,1,0,1
FIFA Men's World Cup,1934,Czechoslovakia vs Germany,1934-06-03,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Italy vs Austria,1934-06-03,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Germany vs Austria,1934-06-07,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1934,Italy vs Czechoslovakia,1934-06-10,final,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Switzerland vs Germany,1938-06-04,round of 16,not applicable,0,1,1,0
FIFA Men's World Cup,1938,Brazil vs Poland,1938-06-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Cuba vs Romania,1938-06-05,round of 16,not applicable,0,1,1,0
FIFA Men's World Cup,1938,Czechoslovakia vs Netherlands,1938-06-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1938,France vs Belgium,1938-06-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Hungary vs Dutch East Indies,1938-06-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Italy vs Norway,1938-06-05,round of 16,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Cuba vs Romania,1938-06-09,round of 16,not applicable,0,1,0,1
FIFA Men's World Cup,1938,Switzerland vs Germany,1938-06-09,round of 16,not applicable,0,1,0,1
FIFA Men's World Cup,1938,Brazil vs Czechoslovakia,1938-06-12,quarter-finals,not applicable,0,1,1,0
FIFA Men's World Cup,1938,Hungary vs Switzerland,1938-06-12,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Italy vs France,1938-06-12,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Sweden vs Cuba,1938-06-12,quarter-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Brazil vs Czechoslovakia,1938-06-14,quarter-finals,not applicable,0,1,0,1
FIFA Men's World Cup,1938,Hungary vs Sweden,1938-06-16,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Italy vs Brazil,1938-06-16,semi-finals,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Brazil vs Sweden,1938-06-19,third-place match,not applicable,0,1,0,0
FIFA Men's World Cup,1938,Italy vs Hungary,1938-06-19,final,not applicable,0,1,0,0
