tournament,year,match_name,match_date,country_name,stadium_name,stadium_wikipedia_link,stadium_capacity,city_name,city_wikipedia_link
FIFA Men's World Cup,1930,France vs Mexico,1930-07-13,Uruguay,Estadio Pocitos,https://en.wikipedia.org/wiki/Estadio_Pocitos,10000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,United States vs Belgium,1930-07-13,Uruguay,Estadio Gran Parque Central,https://en.wikipedia.org/wiki/Estadio_Gran_Parque_Central,20000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Romania vs Peru,1930-07-14,Uruguay,Estadio Pocitos,https://en.wikipedia.org/wiki/Estadio_Pocitos,10000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Yugoslavia vs Brazil,1930-07-14,Uruguay,Estadio Gran Parque Central,https://en.wikipedia.org/wiki/Estadio_Gran_Parque_Central,20000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Argentina vs France,1930-07-15,Uruguay,Estadio Gran Parque Central,https://en.wikipedia.org/wiki/Estadio_Gran_Parque_Central,20000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Chile vs Mexico,1930-07-16,Uruguay,Estadio Gran Parque Central,https://en.wikipedia.org/wiki/Estadio_Gran_Parque_Central,20000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,United States vs Paraguay,1930-07-17,Uruguay,Estadio Gran Parque Central,https://en.wikipedia.org/wiki/Estadio_Gran_Parque_Central,20000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Yugoslavia vs Bolivia,1930-07-17,Uruguay,Estadio Gran Parque Central,https://en.wikipedia.org/wiki/Estadio_Gran_Parque_Central,20000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Uruguay vs Peru,1930-07-18,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Argentina vs Mexico,1930-07-19,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Chile vs France,1930-07-19,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Brazil vs Bolivia,1930-07-20,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Paraguay vs Belgium,1930-07-20,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Uruguay vs Romania,1930-07-21,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Argentina vs Chile,1930-07-22,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Argentina vs United States,1930-07-26,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Uruguay vs Yugoslavia,1930-07-27,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1930,Uruguay vs Argentina,1930-07-30,Uruguay,Estadio Centenario,https://en.wikipedia.org/wiki/Estadio_Centenario,90000,Montevideo,https://en.wikipedia.org/wiki/Montevideo
FIFA Men's World Cup,1934,Austria vs France,1934-05-27,Italy,Stadio Benito Mussolini,https://en.wikipedia.org/wiki/Stadio_Olimpico_Grande_Torino,28000,Turin,https://en.wikipedia.org/wiki/Turin
FIFA Men's World Cup,1934,Czechoslovakia vs Romania,1934-05-27,Italy,Stadio Littorio,https://en.wikipedia.org/wiki/Stadio_Giuseppe_Grezar,8000,Trieste,https://en.wikipedia.org/wiki/Trieste
FIFA Men's World Cup,1934,Germany vs Belgium,1934-05-27,Italy,Stadio Giovanni Berta,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence),47000,Florence,https://en.wikipedia.org/wiki/Florence
FIFA Men's World Cup,1934,Hungary vs Egypt,1934-05-27,Italy,Stadio Giorgio Ascarelli,https://en.wikipedia.org/wiki/Stadio_Giorgio_Ascarelli,40000,Naples,https://en.wikipedia.org/wiki/Naples
FIFA Men's World Cup,1934,Italy vs United States,1934-05-27,Italy,Stadio Nazionale PNF,https://en.wikipedia.org/wiki/Stadio_Nazionale_PNF,47000,Rome,https://en.wikipedia.org/wiki/Rome
FIFA Men's World Cup,1934,Spain vs Brazil,1934-05-27,Italy,Stadio Luigi Ferraris,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris,37000,Genoa,https://en.wikipedia.org/wiki/Genoa
FIFA Men's World Cup,1934,Sweden vs Argentina,1934-05-27,Italy,Stadio Renato Dall'Ara,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara,50000,Bologna,https://en.wikipedia.org/wiki/Bologna
FIFA Men's World Cup,1934,Switzerland vs Netherlands,1934-05-27,Italy,San Siro,https://en.wikipedia.org/wiki/San_Siro,55000,Milan,https://en.wikipedia.org/wiki/Milan
FIFA Men's World Cup,1934,Austria vs Hungary,1934-05-31,Italy,Stadio Renato Dall'Ara,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara,50000,Bologna,https://en.wikipedia.org/wiki/Bologna
FIFA Men's World Cup,1934,Czechoslovakia vs Switzerland,1934-05-31,Italy,Stadio Benito Mussolini,https://en.wikipedia.org/wiki/Stadio_Olimpico_Grande_Torino,28000,Turin,https://en.wikipedia.org/wiki/Turin
FIFA Men's World Cup,1934,Germany vs Sweden,1934-05-31,Italy,San Siro,https://en.wikipedia.org/wiki/San_Siro,55000,Milan,https://en.wikipedia.org/wiki/Milan
FIFA Men's World Cup,1934,Italy vs Spain,1934-05-31,Italy,Stadio Giovanni Berta,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence),47000,Florence,https://en.wikipedia.org/wiki/Florence
FIFA Men's World Cup,1934,Italy vs Spain,1934-06-01,Italy,Stadio Giovanni Berta,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence),47000,Florence,https://en.wikipedia.org/wiki/Florence
FIFA Men's World Cup,1934,Czechoslovakia vs Germany,1934-06-03,Italy,Stadio Nazionale PNF,https://en.wikipedia.org/wiki/Stadio_Nazionale_PNF,47000,Rome,https://en.wikipedia.org/wiki/Rome
FIFA Men's World Cup,1934,Italy vs Austria,1934-06-03,Italy,San Siro,https://en.wikipedia.org/wiki/San_Siro,55000,Milan,https://en.wikipedia.org/wiki/Milan
FIFA Men's World Cup,1934,Germany vs Austria,1934-06-07,Italy,Stadio Giorgio Ascarelli,https://en.wikipedia.org/wiki/Stadio_Giorgio_Ascarelli,40000,Naples,https://en.wikipedia.org/wiki/Naples
FIFA Men's World Cup,1934,Italy vs Czechoslovakia,1934-06-10,Italy,Stadio Nazionale PNF,https://en.wikipedia.org/wiki/Stadio_Nazionale_PNF,47000,Rome,https://en.wikipedia.org/wiki/Rome
FIFA Men's World Cup,1938,Switzerland vs Germany,1938-06-04,France,Parc des Princes,https://en.wikipedia.org/wiki/Parc_des_Princes,40000,Paris,https://en.wikipedia.org/wiki/Paris
FIFA Men's World Cup,1938,Brazil vs Poland,1938-06-05,France,Stade de la Meinau,https://en.wikipedia.org/wiki/Stade_de_la_Meinau,30000,Strasbourg,https://en.wikipedia.org/wiki/Strasbourg
FIFA Men's World Cup,1938,Cuba vs Romania,1938-06-05,France,Stade du T.O.E.C.,https://en.wikipedia.org/wiki/Stade_Chapou,15000,Toulouse,https://en.wikipedia.org/wiki/Toulouse
FIFA Men's World Cup,1938,Czechoslovakia vs Netherlands,1938-06-05,France,Stade Jules Deschaseaux,https://en.wikipedia.org/wiki/Stade_Jules_Deschaseaux,22000,Le Havre,https://en.wikipedia.org/wiki/Le_Havre
FIFA Men's World Cup,1938,France vs Belgium,1938-06-05,France,Stade Olympique de Colombes,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir,60000,Paris,https://en.wikipedia.org/wiki/Paris
FIFA Men's World Cup,1938,Hungary vs Dutch East Indies,1938-06-05,France,Vélodrome Municipal,https://en.wikipedia.org/wiki/Stade_Auguste_Delaune,22000,Reims,https://en.wikipedia.org/wiki/Reims
FIFA Men's World Cup,1938,Italy vs Norway,1938-06-05,France,Stade Vélodrome,https://en.wikipedia.org/wiki/Stade_Vélodrome,48000,Marseille,https://en.wikipedia.org/wiki/Marseille
FIFA Men's World Cup,1938,Cuba vs Romania,1938-06-09,France,Stade du T.O.E.C.,https://en.wikipedia.org/wiki/Stade_Chapou,15000,Toulouse,https://en.wikipedia.org/wiki/Toulouse
FIFA Men's World Cup,1938,Switzerland vs Germany,1938-06-09,France,Parc des Princes,https://en.wikipedia.org/wiki/Parc_des_Princes,40000,Paris,https://en.wikipedia.org/wiki/Paris
FIFA Men's World Cup,1938,Brazil vs Czechoslovakia,1938-06-12,France,Stade du Parc Lescure,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,35000,Bordeaux,https://en.wikipedia.org/wiki/Bordeaux
FIFA Men's World Cup,1938,Hungary vs Switzerland,1938-06-12,France,Stade Victor Boucquey,https://en.wikipedia.org/wiki/Stade_Henri-Jooris,15000,Lille,https://en.wikipedia.org/wiki/Lille
FIFA Men's World Cup,1938,Italy vs France,1938-06-12,France,Stade Olympique de Colombes,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir,60000,Paris,https://en.wikipedia.org/wiki/Paris
FIFA Men's World Cup,1938,Sweden vs Cuba,1938-06-12,France,Stade du Fort Carré,https://en.wikipedia.org/wiki/Stade_du_Fort_Carré,7000,Antibes,https://en.wikipedia.org/wiki/Antibes
FIFA Men's World Cup,1938,Brazil vs Czechoslovakia,1938-06-14,France,Stade du Parc Lescure,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,35000,Bordeaux,https://en.wikipedia.org/wiki/Bordeaux
FIFA Men's World Cup,1938,Hungary vs Sweden,1938-06-16,France,Parc des Princes,https://en.wikipedia.org/wiki/Parc_des_Princes,40000,Paris,https://en.wikipedia.org/wiki/Paris
FIFA Men's World Cup,1938,Italy vs Brazil,1938-06-16,France,Stade Vélodrome,https://en.wikipedia.org/wiki/Stade_Vélodrome,48000,Marseille,https://en.wikipedia.org/wiki/Marseille
FIFA Men's World Cup,1938,Brazil vs Sweden,1938-06-19,France,Stade du Parc Lescure,https://en.wikipedia.org/wiki/Stade_Chaban-Delmas,35000,Bordeaux,https://en.wikipedia.org/wiki/Bordeaux
FIFA Men's World Cup,1938,Italy vs Hungary,1938-06-19,France,Stade Olympique de Colombes,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir,60000,Paris,https://en.wikipedia.org/wiki/Paris
FIFA Men's World Cup,1950,Brazil vs Mexico,1950-06-24,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1950,England vs Chile,1950-06-25,Brazil,Estádio do Maracanã,https://en.wikipedia.org/wiki/Maracanã_Stadium,200000,Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
FIFA Men's World Cup,1950,Spain vs United States,1950-06-25,Brazil,Estádio Vila Capanema,https://en.wikipedia.org/wiki/Estádio_Vila_Capanema,10000,Curitiba,https://en.wikipedia.org/wiki/Curitiba
FIFA Men's World Cup,1950,Sweden vs Italy,1950-06-25,Brazil,Estádio do Pacaembu,https://en.wikipedia.org/wiki/Pacaembu_Stadium,60000,São Paulo,https://en.wikipedia.org/wiki/São_Paulo
FIFA Men's World Cup,1950,Yugoslavia vs Switzerland,1950-06-25,Brazil,Estádio Independência,https://en.wikipedia.org/wiki/Estádio_Independência,30000,Belo Horizonte,https://en.wikipedia.org/wiki/Belo_Horizonte
