team_name,team_code,region_name,confederation_name,federation_name,team_wikipedia_link,federation_wikipedia_link
Algeria,DZA,Africa,Confederation of African Football,Algerian Football Federation,https://en.wikipedia.org/wiki/Algeria_national_football_team,https://en.wikipedia.org/wiki/Algerian_Football_Federation
Angola,AGO,Africa,Confederation of African Football,Angolan Football Federation,https://en.wikipedia.org/wiki/Angola_national_football_team,https://en.wikipedia.org/wiki/Angolan_Football_Federation
Argentina,ARG,South America,South American Football Confederation,Argentine Football Association,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
Australia,AUS,Oceania,Asian Football Confederation,Football Australia,https://en.wikipedia.org/wiki/Australia_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/Football_Australia
Austria,AUT,Europe,Union of European Football Associations,Austrian Football Association,https://en.wikipedia.org/wiki/Austria_national_football_team,https://en.wikipedia.org/wiki/Austrian_Football_Association
Belgium,BEL,Europe,Union of European Football Associations,Royal Belgian Football Association,https://en.wikipedia.org/wiki/Belgium_national_football_team,https://en.wikipedia.org/wiki/Royal_Belgian_Football_Association
Bolivia,BOL,South America,South American Football Confederation,Bolivian Football Federation,https://en.wikipedia.org/wiki/Bolivia_national_football_team,https://en.wikipedia.org/wiki/Bolivian_Football_Federation
Bosnia and Herzegovina,BIH,Europe,Union of European Football Associations,Football Association of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Bosnia_and_Herzegovina
Brazil,BRA,South America,South American Football Confederation,Brazilian Football Confederation,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
Bulgaria,BGR,Europe,Union of European Football Associations,Bulgarian Football Union,https://en.wikipedia.org/wiki/Bulgaria_national_football_team,https://en.wikipedia.org/wiki/Bulgarian_Football_Union
Cameroon,CMR,Africa,Confederation of African Football,Cameroonian Football Federation,https://en.wikipedia.org/wiki/Cameroon_national_football_team,https://en.wikipedia.org/wiki/Cameroonian_Football_Federation
Canada,CAN,North America,"Confederation of North, Central American and Caribbean Association Football",Canadian Soccer Association,https://en.wikipedia.org/wiki/Canada_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/Canadian_Soccer_Association
Chile,CHL,South America,South American Football Confederation,Football Federation of Chile,https://en.wikipedia.org/wiki/Chile_national_football_team,https://en.wikipedia.org/wiki/Football_Federation_of_Chile
China,CHN,East Asia,Asian Football Confederation,Chinese Football Association,https://en.wikipedia.org/wiki/China_national_football_team,https://en.wikipedia.org/wiki/Chinese_Football_Association
Colombia,COL,South America,South American Football Confederation,Colombia Football Federation,https://en.wikipedia.org/wiki/Colombia_national_football_team,https://en.wikipedia.org/wiki/Colombian_Football_Federation
Costa Rica,CRI,Central America,"Confederation of North, Central American and Caribbean Association Football",Costa Rican Football Federation,https://en.wikipedia.org/wiki/Costa_Rica_national_football_team,https://en.wikipedia.org/wiki/Costa_Rican_Football_Federation
Croatia,HRV,Europe,Union of European Football Associations,Croatian Football Federation,https://en.wikipedia.org/wiki/Croatia_national_football_team,https://en.wikipedia.org/wiki/Croatian_Football_Federation
Cuba,CUB,Caribbean ,"Confederation of North, Central American and Caribbean Association Football",Football Association of Cuba,https://en.wikipedia.org/wiki/Cuba_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Cuba
Czech Republic,CZE,Europe,Union of European Football Associations,Football Association of the Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
Czechoslovakia,CSK,Europe,Union of European Football Associations,Football Association of the Czechoslovakia,https://en.wikipedia.org/wiki/Czechoslovakia_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
Denmark,DNK,Europe,Union of European Football Associations,Danish Football Association,https://en.wikipedia.org/wiki/Denmark_national_football_team,https://en.wikipedia.org/wiki/Danish_Football_Association
Dutch East Indies,IDN,South East Asia,Asian Football Confederation,Football Association of Indonesia,https://en.wikipedia.org/wiki/Indonesia_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Indonesia
East Germany,DDR,Europe,Union of European Football Associations,Football Association of East Germany,https://en.wikipedia.org/wiki/East_Germany_national_football_team,https://en.wikipedia.org/wiki/Deutscher_Fußball-Verband_der_DDR
Ecuador,ECU,South America,South American Football Confederation,Ecuadorian Football Federation,https://en.wikipedia.org/wiki/Ecuador_national_football_team,https://en.wikipedia.org/wiki/Ecuadorian_Football_Federation
Egypt,EGY,Africa,Confederation of African Football,Egyptian Football Association,https://en.wikipedia.org/wiki/Egypt_national_football_team,https://en.wikipedia.org/wiki/Egyptian_Football_Association
El Salvador,SLV,Central America,"Confederation of North, Central American and Caribbean Association Football",Salvadorian Football Federation,https://en.wikipedia.org/wiki/El_Salvador_national_football_team,https://en.wikipedia.org/wiki/Salvadoran_Football_Federation
England,ENG,Europe,Union of European Football Associations,The Football Association,https://en.wikipedia.org/wiki/England_national_football_team,https://en.wikipedia.org/wiki/The_Football_Association
France,FRA,Europe,Union of European Football Associations,French Football Association,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
Germany,DEU,Europe,Union of European Football Associations,Germany Football Association,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
Ghana,GHA,Africa,Confederation of African Football,Ghana Football Association,https://en.wikipedia.org/wiki/Ghana_national_football_team,https://en.wikipedia.org/wiki/Ghana_Football_Association
Greece,GRC,Europe,Union of European Football Associations,Hellenic Football Associaiton,https://en.wikipedia.org/wiki/Greece_national_football_team,https://en.wikipedia.org/wiki/Hellenic_Football_Federation
Haiti,HTI,Caribbean ,"Confederation of North, Central American and Caribbean Association Football",Haitian Football Federation,https://en.wikipedia.org/wiki/Haiti_national_football_team,https://en.wikipedia.org/wiki/Haitian_Football_Federation
Honduras,HND,Central America,"Confederation of North, Central American and Caribbean Association Football",National Autonomous Federation of Football of Honduras,https://en.wikipedia.org/wiki/Honduras_national_football_team,https://en.wikipedia.org/wiki/National_Autonomous_Federation_of_Football_of_Honduras
Hungary,HUN,Europe,Union of European Football Associations,Hungary Football Association,https://en.wikipedia.org/wiki/Hungary_national_football_team,https://en.wikipedia.org/wiki/Hungarian_Football_Federation
Iceland,ISL,Europe,Union of European Football Associations,Football Association of Iceland,https://en.wikipedia.org/wiki/Iceland_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Iceland
Iran,IRN,Middle East,Asian Football Confederation,Football Federation Islamic Republic of Iran,https://en.wikipedia.org/wiki/Iran_national_football_team,https://en.wikipedia.org/wiki/Football_Federation_Islamic_Republic_of_Iran
Iraq,IRQ,Middle East,Asian Football Confederation,Iraq Football Association,https://en.wikipedia.org/wiki/Iraq_national_football_team,https://en.wikipedia.org/wiki/Iraq_Football_Association
Israel,ISR,Middle East,Union of European Football Associations,Israel Football Association,https://en.wikipedia.org/wiki/Israel_national_football_team,https://en.wikipedia.org/wiki/Israel_Football_Association
Italy,ITA,Europe,Union of European Football Associations,Italian Football Association,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
Ivory Coast,CIV,Africa,Confederation of African Football,Ivorian Football Federation,https://en.wikipedia.org/wiki/Ivory_Coast_national_football_team,https://en.wikipedia.org/wiki/Ivorian_Football_Federation
Jamaica,JAM,Caribbean ,"Confederation of North, Central American and Caribbean Association Football",Jamaica Football Federation,https://en.wikipedia.org/wiki/Jamaica_national_football_team,https://en.wikipedia.org/wiki/Jamaica_Football_Federation
Japan,JPN,East Asia,Asian Football Confederation,Japan Football Association,https://en.wikipedia.org/wiki/Japan_national_football_team,https://en.wikipedia.org/wiki/Japan_Football_Association
Kuwait,KWT,Middle East,Asian Football Confederation,Kuwait Football Association,https://en.wikipedia.org/wiki/Kuwait_national_football_team,https://en.wikipedia.org/wiki/Kuwait_Football_Association
Mexico,MEX,North America,"Confederation of North, Central American and Caribbean Association Football",Mexican Football Federation,https://en.wikipedia.org/wiki/Mexico_national_football_team,https://en.wikipedia.org/wiki/Mexican_Football_Federation
Morocco,MAR,Africa,Confederation of African Football,Royal Moroccan Football Federation,https://en.wikipedia.org/wiki/Morocco_national_football_team,https://en.wikipedia.org/wiki/Royal_Moroccan_Football_Federation
Netherlands,NLD,Europe,Union of European Football Associations,Royal Dutch Football Association,https://en.wikipedia.org/wiki/Netherlands_national_football_team,https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association
New Zealand,NZL,Oceania,Oceania Football Confederation,New Zealand Football,https://en.wikipedia.org/wiki/New_Zealand_national_football_team,https://en.wikipedia.org/wiki/New_Zealand_Football
Nigeria,NGA,Africa,Confederation of African Football,Nigeria Football Federation,https://en.wikipedia.org/wiki/Nigeria_national_football_team,https://en.wikipedia.org/wiki/Nigeria_Football_Federation
North Korea,PRK,East Asia,Asian Football Confederation,Democratic People's Republic of Korea Football Association,https://en.wikipedia.org/wiki/North_Korea_national_football_team,https://en.wikipedia.org/wiki/DPR_Korea_Football_Association
