manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
Nelson Acosta,https://en.wikipedia.org/wiki/Nelson_Acosta,Nelson,Acosta,Uruguay,0
Otto Addo,https://en.wikipedia.org/wiki/Otto_Addo,Otto,Addo,Ghana,0
John Adshead,https://en.wikipedia.org/wiki/John_Adshead,John,Adshead,England,0
Dick Advocaat,https://en.wikipedia.org/wiki/Dick_Advocaat,Dick,Advocaat,Netherlands,0
Emmanuel Kwasi Afranie,https://en.wikipedia.org/wiki/Emmanuel_Kwasi_Afranie,Emmanual Kwasi,Afranie,Ghana,0
Javier Aguirre,https://en.wikipedia.org/wiki/Javier_Aguirre,Javier,Aguirre,Mexico,0
Mahmoud Al-Gohari,https://en.wikipedia.org/wiki/Mahmoud_Al-Gohari,Mahmoud,Al-Gohari,Egypt,0
Nasser Al-Johar,https://en.wikipedia.org/wiki/Nasser_Al-Johar,Nasser,Al-Johar,Saudi Arabia,0
Mohammed Al-Kharashy,https://en.wikipedia.org/wiki/Mohammed_Al-Kharashy,Mohammed,Al-Kharashy,Brazil,0
Luis Álamos,https://en.wikipedia.org/wiki/Luis_%C3%81lamos,Luis,Álamos,Chile,0
Gustavo Alfaro,https://en.wikipedia.org/wiki/Gustavo_Alfaro,Gustavo,Alfaro,Argentina,0
Diego Alonso,https://en.wikipedia.org/wiki/Diego_Alonso,Diego,Alonso,Uruguay,0
An Jong-goan,https://en.wikipedia.org/wiki/An_Jong-goan,Jong-goan,An,South Korea,0
Janne Andersson,https://en.wikipedia.org/wiki/Janne_Andersson,Janne,Andersson,Sweden,0
Franco Andreoli,https://en.wikipedia.org/wiki/Franco_Andreoli,Franco,Andreoli,Switzerland,0
Radomir Antić,https://en.wikipedia.org/wiki/Radomir_Anti%C4%87,Radomir,Antić,Serbia,0
James Kwesi Appiah,https://en.wikipedia.org/wiki/James_Kwesi_Appiah,James Kwesi,Appiah,Ghana,0
Luis Aragonés,https://en.wikipedia.org/wiki/Luis_Aragon%C3%A9s,Luis,Aragonés,Spain,0
Vanessa Arauz,https://en.wikipedia.org/wiki/Vanessa_Arauz,Vanessa,Arauz,Ecuador,1
Bruce Arena,https://en.wikipedia.org/wiki/Bruce_Arena,Bruce,Arena,United States,0
Karl Argauer,https://en.wikipedia.org/wiki/Karl_Argauer,Karl,Argauer,Austria,0
Graham Arnold,https://en.wikipedia.org/wiki/Graham_Arnold,Graham,Arnold,Australia,0
Milorad Arsenijević,https://en.wikipedia.org/wiki/Milorad_Arsenijevi%C4%87,Milorad,Arsenijević,Yugoslavia,0
Oko Aryee,https://en.wikipedia.org/wiki/Oko_Aryee,Oko,Aryee,Ghana,0
Xabier Azkargorta,https://en.wikipedia.org/wiki/Xabier_Azkargorta,Xabier,Azkargorta,Spain,0
Jorge Barcellos,https://en.wikipedia.org/wiki/Jorge_Barcellos,Jorge,Barcellos,Brazil,0
Lajos Baróti,https://en.wikipedia.org/wiki/Lajos_Bar%C3%B3ti,Lajos,Baróti,Hungary,0
Gaston Barreau,https://en.wikipedia.org/wiki/Gaston_Barreau,Gaston,Barreau,France,0
Alfio Basile,https://en.wikipedia.org/wiki/Alfio_Basile,Alfio,Basile,Argentina,0
Albert Batteux,https://en.wikipedia.org/wiki/Albert_Batteux,Albert,Batteux,France,0
Enzo Bearzot,https://en.wikipedia.org/wiki/Enzo_Bearzot,Enzo,Bearzot,Italy,0
Andy Beattie,https://en.wikipedia.org/wiki/Andy_Beattie,Andy,Beattie,Scotland,0
Franz Beckenbauer,https://en.wikipedia.org/wiki/Franz_Beckenbauer,Franz,Beckenbauer,Germany,0
Leo Beenhakker,https://en.wikipedia.org/wiki/Leo_Beenhakker,Leo,Beenhakker,Netherlands,0
Sylvie Béliveau,https://en.wikipedia.org/wiki/Sylvie_B%C3%A9liveau,Sylvie,Béliveau,Canada,1
Paulo Bento,https://en.wikipedia.org/wiki/Paulo_Bento,Paulo,Bento,Portugal,0
Philippe Bergeroo,https://en.wikipedia.org/wiki/Philippe_Bergeroo,Philippe,Bergeroo,France,0
Orvar Bergmark,https://en.wikipedia.org/wiki/Orvar_Bergmark,Orvar,Bergmark,Sweden,0
Gregg Berhalter,https://en.wikipedia.org/wiki/Gregg_Berhalter,Gregg,Berhalter,United States,0
Bjarne Berntsen,https://en.wikipedia.org/wiki/Bjarne_Berntsen,Bjarne,Berntsen,Norway,0
Milena Bertolini,https://en.wikipedia.org/wiki/Milena_Bertolini,Milena,Bertolini,Italy,1
Konstantin Beskov,https://en.wikipedia.org/wiki/Konstantin_Beskov,Konstantin,Beskov,Soviet Union,0
Marcelo Bielsa,https://en.wikipedia.org/wiki/Marcelo_Bielsa,Marcelo,Bielsa,Argentina,0
Carlos Bilardo,https://en.wikipedia.org/wiki/Carlos_Bilardo,Carlos,Bilardo,Argentina,0
Billy Bingham,https://en.wikipedia.org/wiki/Billy_Bingham,Billy,Bingham,Northern Ireland,0
Bruno Bini,https://en.wikipedia.org/wiki/Bruno_Bini,Bruno,Bini,France,0
Gero Bisanz,https://en.wikipedia.org/wiki/Gero_Bisanz,Gero,Bisanz,Germany,0
Miroslav Blažević,https://en.wikipedia.org/wiki/Miroslav_Bla%C5%BEevi%C4%87,Miroslav,Blažević,Croatia,0
Abdellah Blinda,https://en.wikipedia.org/wiki/Abdellah_Blinda,Abdellah,Blinda,Morocco,0
Oleg Blokhin,https://en.wikipedia.org/wiki/Oleg_Blokhin,Oleg,Blokhin,Ukraine,0
Dave Boardman,https://en.wikipedia.org/wiki/Dave_Boardman,Dave,Boardman,England,0
Hristo Bonev,https://en.wikipedia.org/wiki/Hristo_Bonev,Hristo,Bonev,Bulgaria,0
Jo Bonfrère,https://en.wikipedia.org/wiki/Jo_Bonfr%C3%A8re,Jo,Bonfrère,Netherlands,0
Karol Borhy,https://en.wikipedia.org/wiki/Karol_Borhy,Karol,Borhy,Czechoslovakia,0
Omar Borrás,https://en.wikipedia.org/wiki/Omar_Borr%C3%A1s,Omar,Borrás,Uruguay,0
Carlos Borrello,https://en.wikipedia.org/wiki/Carlos_Borrello,Carlos,Borrello,Argentina,0
Stefan Bozhkov,https://en.wikipedia.org/wiki/Stefan_Bozhkov,Stefan,Bozhkov,Bulgaria,0
Bob Bradley,https://en.wikipedia.org/wiki/Bob_Bradley,Bob,Bradley,United States,0
Craig Brown,https://en.wikipedia.org/wiki/Craig_Brown_(footballer_born_1940),Craig,Brown,Scotland,0
Greg Brown,"https://en.wikipedia.org/wiki/Greg_Brown_(footballer,_born_1962)",Greg,Brown,Australia,0
Francisco Bru,https://en.wikipedia.org/wiki/Francisco_Bru,Francisco,Bru,Spain,0
Karel Brückner,https://en.wikipedia.org/wiki/Karel_Br%C3%BCckner,Karel,Brückner,Czech Republic,0
Alberto Buccicardi,https://en.wikipedia.org/wiki/Alberto_Buccicardi,Alberto,Buccicardi,Chile,0
Matt Busby,https://en.wikipedia.org/wiki/Matt_Busby,Matt,Busby,Scotland,0
Georg Buschner,https://en.wikipedia.org/wiki/Georg_Buschner,Georg,Buschner,East Germany,0
Jack Butler,"https://en.wikipedia.org/wiki/Jack_Butler_(footballer,_born_1894)",Jack,Butler,England,0
Yuri Bystritsky,https://en.wikipedia.org/wiki/Yuri_Bystritsky,Yuri,Bystritsky,Russia,0
Marcos Calderón,https://en.wikipedia.org/wiki/Marcos_Calder%C3%B3n,Marcos,Calderón,Peru,0
