team_name,player_name,given_name,family_name,player_wikipedia_link
New Zealand,Aaron Clapham,Aaron,Clapham,https://en.wikipedia.org/wiki/Aaron_Clapham
Jamaica,Aaron Lawrence,Aaron,Lawrence,https://en.wikipedia.org/wiki/Aaron_Lawrence_(footballer)
England,Aaron Lennon,Aaron,Lennon,https://en.wikipedia.org/wiki/Aaron_Lennon
United States,Aaron Long,Aaron,Long,https://en.wikipedia.org/wiki/Aaron_Long_(soccer)
South Africa,Aaron Mokoena,Aaron,Mokoena,https://en.wikipedia.org/wiki/Aaron_Mokoena
Australia,Aaron Mooy,Aaron,Mooy,https://en.wikipedia.org/wiki/Aaron_Mooy
Mexico,Aarón Padilla,Aarón,Padilla,https://en.wikipedia.org/wiki/Aar%C3%B3n_Padilla_Guti%C3%A9rrez
England,Aaron Ramsdale,Aaron,Ramsdale,https://en.wikipedia.org/wiki/Aaron_Ramsdale
Wales,Aaron Ramsey,Aaron,Ramsey,https://en.wikipedia.org/wiki/Aaron_Ramsey
Egypt,Abdallah El Said,Abdallah,El Said,https://en.wikipedia.org/wiki/Abdallah_El_Said
Morocco,Abdallah Lamrani,Abdallah,Lamrani,https://en.wikipedia.org/wiki/Abdallah_Lamrani
Morocco,Abde Ezzalzouli,Abde,Ezzalzouli,https://en.wikipedia.org/wiki/Abde_Ezzalzouli
France,Abdelaziz Ben Tifour,Abdelaziz,Ben Tifour,https://en.wikipedia.org/wiki/Abdelaziz_Ben_Tifour
Morocco,Abdelaziz Souleimani,Abdelaziz,Souleimani,https://en.wikipedia.org/wiki/Abdelaziz_Souleimani
Morocco,Abdelfettah Mouddani,Abdelfettah,Mouddani,https://en.wikipedia.org/wiki/Abdelfettah_Mouddani
Morocco,Abdelfettah Rhiati,Abdelfettah,Rhiati,https://en.wikipedia.org/wiki/Abdelfettah_Rhiati
Morocco,Abdelhamid Sabiri,Abdelhamid,Sabiri,https://en.wikipedia.org/wiki/Abdelhamid_Sabiri
Algeria,Abdelhamid Sadmi,Abdelhamid,Sadmi,https://en.wikipedia.org/wiki/Abdelhamid_Sadmi
Morocco,Abdelilah Saber,Abdelilah,Saber,https://en.wikipedia.org/wiki/Abdelilah_Saber
Morocco,Abdeljalil Hadda,Abdeljalil,Hadda,https://en.wikipedia.org/wiki/Abdeljalil_Hadda
France,Abdelkader Ben Bouali,Abdelkader,Ben Bouali,https://en.wikipedia.org/wiki/Abdelkader_Ben_Bouali
Morocco,Abdelkader El Brazi,Abdelkader,El Brazi,https://en.wikipedia.org/wiki/Abdelkader_El_Brazi
Morocco,Abdelkader El Khiati,Abdelkader,El Khiati,https://en.wikipedia.org/wiki/Abdelkader_El_Khiati
Algeria,Abdelkader Ghezzal,Abdelkader,Ghezzal,https://en.wikipedia.org/wiki/Abdelkader_Ghezzal
Algeria,Abdelkader Horr,Abdelkader,Horr,https://en.wikipedia.org/wiki/Abdelkader_Horr
Algeria,Abdelkader Laïfaoui,Abdelkader,Laïfaoui,https://en.wikipedia.org/wiki/Abdelkader_La%C3%AFfaoui
Morocco,Abdelkader Ouaraghli,Abdelkader,Ouaraghli,https://en.wikipedia.org/wiki/Abdelkader_Ouaraghli
Qatar,Abdelkarim Hassan,Abdelkarim,Hassan,https://en.wikipedia.org/wiki/Abdelkarim_Hassan
Morocco,Abdelkrim El Hadrioui,Abdelkrim,El Hadrioui,https://en.wikipedia.org/wiki/Abdelkrim_El_Hadrioui
Morocco,Abdelkrim Merry,Abdelkrim,Merry,https://en.wikipedia.org/wiki/Abdelkrim_Merry
Morocco,Abdellah Bidane,Abdellah,Bidane,https://en.wikipedia.org/wiki/Abdellah_Bidane
Algeria,Abdellah Medjadi Liegeon,Abdellah,Medjadi Liegeon,https://en.wikipedia.org/wiki/Abdellah_Liegeon
Algeria,Abdelmajid Bourebbou,Abdelmajid,Bourebbou,https://en.wikipedia.org/wiki/Abdelmajid_Bourebbou
Morocco,Abdelmajid Bouyboud,Abdelmajid,Bouyboud,https://en.wikipedia.org/wiki/Abdelmajid_Bouyboud
Morocco,Abdelmajid Dolmy,Abdelmajid,Dolmy,https://en.wikipedia.org/wiki/Abdelmajid_Dolmy
Morocco,Abdelmajid Lamriss,Abdelmajid,Lamriss,https://en.wikipedia.org/wiki/Abdelmajid_Lamriss
Algeria,Abdelmoumene Djabou,Abdelmoumene,Djabou,https://en.wikipedia.org/wiki/Abdelmoumene_Djabou
Morocco,Abderrahim Ouakili,Abderrahim,Ouakili,https://en.wikipedia.org/wiki/Abderrahim_Ouakili
France,Abderrahmane Mahjoub,Abderrahmane,Mahjoub,https://en.wikipedia.org/wiki/Abderrahmane_Mahjoub
Tunisia,Abderraouf Ben Aziza,Abderraouf,Ben Aziza,https://en.wikipedia.org/wiki/Abderraouf_Ben_Aziza
Morocco,Abderrazak Hamdallah,Abderrazak,Hamdallah,https://en.wikipedia.org/wiki/Abderrazak_Hamdallah
Morocco,Abderrazak Khairi,Abderrazak,Khairi,https://en.wikipedia.org/wiki/Abderrazak_Khairi
Morocco,Abdeslam Laghrissi,Abdeslam,Laghrissi,https://en.wikipedia.org/wiki/Abdeslam_Laghrissi
Panama,Abdiel Arroyo,Abdiel,Arroyo,https://en.wikipedia.org/wiki/Abdiel_Arroyo
Senegal,Abdou Diallo,Abdou,Diallo,https://en.wikipedia.org/wiki/Abdou_Diallo
Senegal,Abdoulaye Diallo,Abdoulaye,Diallo,https://en.wikipedia.org/wiki/Abdoulaye_Diallo
Ivory Coast,Abdoulaye Méïté,Abdoulaye,Méïté,https://en.wikipedia.org/wiki/Abdoulaye_M%C3%A9%C3%AFt%C3%A9
United Arab Emirates,Abdualla Sultan,Abdualla,Sultan,https://en.wikipedia.org/wiki/Abdullah_Ali_Sultan
Ghana,Abdul Fatawu Issahaku,Abdul Fatawu,Issahaku,https://en.wikipedia.org/wiki/Abdul_Fatawu_Issahaku
Ivory Coast,Abdul Kader Keïta,Abdul,Kader Keïta,https://en.wikipedia.org/wiki/Abdul_Kader_Ke%C3%AFta
Ghana,Abdul Majeed Waris,Abdul Majeed,Waris,https://en.wikipedia.org/wiki/Abdul_Majeed_Waris
Ghana,Abdul Manaf Nurudeen,Abdul,Manaf Nurudeen,https://en.wikipedia.org/wiki/Abdul_Manaf_Nurudeen
Kuwait,Abdulaziz Al-Anberi,Abdulaziz,Al-Anberi,https://en.wikipedia.org/wiki/Abdulaziz_Al-Anberi
Kuwait,Abdulaziz Al-Buloushi,Abdulaziz,Al-Buloushi,https://en.wikipedia.org/wiki/Abdulaziz_Al-Buloushi
Saudi Arabia,Abdulaziz Al-Janoubi,Abdulaziz,Al-Janoubi,https://en.wikipedia.org/wiki/Abdulaziz_Al-Janoubi
Qatar,Abdulaziz Hatem,Abdulaziz,Hatem,https://en.wikipedia.org/wiki/Abdulaziz_Hatem
Saudi Arabia,Abdulaziz Khathran,Abdulaziz,Al-Khathran,https://en.wikipedia.org/wiki/Abdulaziz_Khathran
United Arab Emirates,Abdulaziz Mohamed,Abdulaziz,Mohamed,https://en.wikipedia.org/wiki/Abdulaziz_Mohamed
Saudi Arabia,Abdulelah Al-Amri,Abdulelah,Al-Amri,https://en.wikipedia.org/wiki/Abdulelah_Al-Amri
