team_name,player_name,given_name,family_name,player_wikipedia_link
England,Abbie McManus,Abbie,McManus,https://en.wikipedia.org/wiki/Abbie_McManus
United States,Abby Dahlkemper,Abby,Dahlkemper,https://en.wikipedia.org/wiki/Abby_Dahlkemper
New Zealand,Abby Erceg,Abby,Erceg,https://en.wikipedia.org/wiki/Abby_Erceg
United States,Abby Wambach,Abby,Wambach,https://en.wikipedia.org/wiki/Abby_Wambach
Norway,Ada Hegerberg,Ada,Hegerberg,https://en.wikipedia.org/wiki/Ada_Hegerberg
Nigeria,Adaku Okoroafor,Adaku,Okoroafor,https://en.wikipedia.org/wiki/Adaku_Okoroafor
Nigeria,Adanna Nwaneri,Adanna,Nwaneri,https://en.wikipedia.org/wiki/Adanna_Nwaneri
Argentina,Adela Medina,Adela,Medina,https://en.wikipedia.org/wiki/Adela_Medina
Italy,Adele Frollani,Adele,Frollani,https://en.wikipedia.org/wiki/Adele_Frollani
Italy,Adele Marsiletti,Adele,Marsiletti,https://en.wikipedia.org/wiki/Adele_Marsiletti
Ghana,Adjoa Bayor,Adjoa,Bayor,https://en.wikipedia.org/wiki/Adjoa_Bayor
Brazil,Adriana,not applicable,Adriana,"https://en.wikipedia.org/wiki/Adriana_(footballer,_born_1968)"
Ecuador,Adriana Barré,Adriana,Barré,https://en.wikipedia.org/wiki/Adriana_Barr%C3%A9
Canada,Adriana Leon,Adriana,Leon,https://en.wikipedia.org/wiki/Adriana_Leon
Argentina,Adriana Sachs,Adriana,Sachs,https://en.wikipedia.org/wiki/Adriana_Sachs
Costa Rica,Adriana Venegas,Adriana,Venegas,https://en.wikipedia.org/wiki/Adriana_Venegas
United States,Adrianna Franch,Adrianna,Franch,https://en.wikipedia.org/wiki/Adrianna_Franch
Cameroon,Agathe Ngani,Agathe,Ngani,https://en.wikipedia.org/wiki/Agathe_Ngani
Norway,Agnete Carlsen,Agnete,Carlsen,https://en.wikipedia.org/wiki/Agnete_Carlsen
Argentina,Agustina Barroso,Agustina,Barroso,https://en.wikipedia.org/wiki/Agustina_Barroso
Spain,Ainhoa Tirapu,Ainhoa,Tirapu,https://en.wikipedia.org/wiki/Ainhoa_Tirapu
Thailand,Ainon Phancha,Phancha,Ainon,https://en.wikipedia.org/wiki/Ainon_Phancha
France,Aïssatou Tounkara,Aïssatou,Tounkara,https://en.wikipedia.org/wiki/A%C3%AFssatou_Tounkara
Spain,Aitana Bonmatí,Aitana,Bonmatí,https://en.wikipedia.org/wiki/Aitana_Bonmat%C3%AD
Australia,Aivi Luik,Aivi,Luik,https://en.wikipedia.org/wiki/Aivi_Luik
Cameroon,Ajara Nchout,Ajara,Nchout,https://en.wikipedia.org/wiki/Ajara_Nchout
Japan,Akemi Noda,Akemi,Noda,https://en.wikipedia.org/wiki/Akemi_Noda
Japan,Akiko Sudo,Akiko,Sudo,https://en.wikipedia.org/wiki/Akiko_Sudo
Ghana,Akua Anokyewaa,Akua,Anokyewaa,https://en.wikipedia.org/wiki/Akua_Anokyewaa
Nigeria,Alaba Jonathan,Alaba,Jonathan,https://en.wikipedia.org/wiki/Alaba_Jonathan
Nigeria,Aladi Ayegba,Aladi,Ayegba,https://en.wikipedia.org/wiki/Aladi_Ayegba
Australia,Alanna Kennedy,Alanna,Kennedy,https://en.wikipedia.org/wiki/Alanna_Kennedy
Ghana,Alberta Sackey,Alberta,Sackey,https://en.wikipedia.org/wiki/Alberta_Sackey
Argentina,Aldana Cometti,Aldana,Cometti,https://en.wikipedia.org/wiki/Aldana_Cometti
Colombia,Alejandra Velasco,Alejandra,Velasco,https://en.wikipedia.org/wiki/Alejandra_Velasco
Italy,Alessandra Pallotti,Alessandra,Pallotti,https://en.wikipedia.org/wiki/Alessandra_Pallotti
England,Alex Greenwood,Alex,Greenwood,https://en.wikipedia.org/wiki/Alex_Greenwood
United States,Alex Morgan,Alex,Morgan,https://en.wikipedia.org/wiki/Alex_Morgan
England,Alex Scott,Alex,Scott,"https://en.wikipedia.org/wiki/Alex_Scott_(footballer,_born_1984)"
Germany,Alexandra Popp,Alexandra,Popp,https://en.wikipedia.org/wiki/Alexandra_Popp
Ecuador,Alexandra Salvador,Alexandra,Salvador,https://en.wikipedia.org/wiki/Alexandra_Salvador
Russia,Alexandra Svetlitskaya,Alexandra,Svetlitskaya,https://en.wikipedia.org/wiki/Alexandra_Svetlitskaya
Cameroon,Alexandra Takounda,Alexandra,Takounda,https://en.wikipedia.org/wiki/Alexandra_Takounda
Spain,Alexia Putellas,Alexia,Putellas,https://en.wikipedia.org/wiki/Alexia_Putellas
United States,Ali Krieger,Ali,Krieger,https://en.wikipedia.org/wiki/Ali_Krieger
New Zealand,Ali Riley,Ali,Riley,https://en.wikipedia.org/wiki/Ali_Riley
Italy,Alia Guagni,Alia,Guagni,https://en.wikipedia.org/wiki/Alia_Guagni
Nigeria,Alice Ogebe,Alice,Ogebe,https://en.wikipedia.org/wiki/Alice_Ogebe
Italy,Alice Parisi,Alice,Parisi,https://en.wikipedia.org/wiki/Alice_Parisi
Australia,Alicia Ferguson,Alicia,Ferguson,https://en.wikipedia.org/wiki/Alicia_Ferguson
Mexico,Alina Garciamendez,Alina,Garciamendez,https://en.wikipedia.org/wiki/Alina_Garciamendez
Brazil,Aline,not applicable,Aline,"https://en.wikipedia.org/wiki/Aline_(footballer,_born_1989)"
Brazil,Aline,not applicable,Aline,https://en.wikipedia.org/wiki/Aline_Pellegrino
Thailand,Alisa Rukpinij,Rukpinij,Alisa,https://en.wikipedia.org/wiki/Alisa_Rukpinij
Australia,Alison Forman,Alison,Forman,https://en.wikipedia.org/wiki/Alison_Forman
Russia,Alla Volkova,Alla,Volkova,https://en.wikipedia.org/wiki/Alla_Volkova
United States,Allie Long,Allie,Long,https://en.wikipedia.org/wiki/Allie_Long
Canada,Allysha Chapman,Allysha,Chapman,https://en.wikipedia.org/wiki/Allysha_Chapman
