referee_name,referee_wikipedia_link,given_name,family_name,female,country_name,confederation_code
Abdul Rahman Al-Zeid,https://en.wikipedia.org/wiki/Abdul_Rahman_Al-Zeid,Abdul,Rahman Al-Zeid,0,Saudi Arabia,AFC
Abdulrahman Al-Jassim,https://en.wikipedia.org/wiki/Abdulrahman_Al-Jassim,Abdulrahman,Al-Jassim,0,Qatar,AFC
Abel Aguilar Elizalde,not available,Abel,Aguilar Elizalde,0,Mexico,CONCACAF
Abraham Klein,https://en.wikipedia.org/wiki/Abraham_Klein_(referee),Abraham,Klein,0,Israel,UEFA
Adolf Prokop,https://en.wikipedia.org/wiki/Adolf_Prokop,Adolf,Prokop,0,East Germany,UEFA
Adriana Correa,not available,Adriana,Correa,1,Colombia,CONMEBOL
Alain Hamer,https://en.wikipedia.org/wiki/Alain_Hamer,Alain,Hamer,0,Luxembourg,UEFA
Alan Snoddy,https://en.wikipedia.org/wiki/Alan_Snoddy,Alan,Snoddy,0,Northern Ireland,UEFA
Albert Dusch,not available,Albert,Dusch,0,West Germany,UEFA
Alberto Malcher,not available,Alberto,Malcher,0,Brazil,CONMEBOL
Alberto Tejada Noriega,https://en.wikipedia.org/wiki/Alberto_Tejada_Noriega,Alberto,Tejada Noriega,0,Peru,CONMEBOL
Alberto Undiano Mallenco,https://en.wikipedia.org/wiki/Alberto_Undiano_Mallenco,Alberto,Undiano Mallenco,0,Spain,UEFA
Alberto Warnken,not available,Alberto,Warnken,0,Chile,CONMEBOL
Albino Carraro,not available,Albino,Carraro,0,Italy,UEFA
Alexey Spirin,https://en.wikipedia.org/wiki/Alexey_Spirin,Alexey,Spirin,0,Soviet Union,UEFA
Alexis Ponnet,https://en.wikipedia.org/wiki/Alexis_Ponnet,Alexis,Ponnet,0,Belgium,UEFA
Alfonso González Archundía,not available,Alfonso,González Archundía,0,Mexico,CONCACAF
Alfred Birlem,not available,Alfred,Birlem,0,Germany,UEFA
Ali Bin Nasser,https://en.wikipedia.org/wiki/Ali_Bin_Nasser,Ali,Bin Nasser,0,Tunisia,CAF
Ali Bujsaim,https://en.wikipedia.org/wiki/Ali_Bujsaim,Ali,Bujsaim,0,United Arab Emirates,AFC
Ali Kandil,https://en.wikipedia.org/wiki/Ali_Kandil,Ali,Kandil,0,United Arab Republic,CAF
Alireza Faghani,https://en.wikipedia.org/wiki/Alireza_Faghani,Alireza,Faghani,0,Iran,AFC
Alois Beranek,https://en.wikipedia.org/wiki/Alois_Beranek,Alois,Beranek,0,Austria,UEFA
Alojzy Jarguz,not available,Alojzy,Jarguz,0,Poland,UEFA
Anastasia Pustovoitova,https://en.wikipedia.org/wiki/Anastasia_Pustovoitova,Anastasia,Pustovoitova,1,Russia,UEFA
Anders Frisk,https://en.wikipedia.org/wiki/Anders_Frisk,Anders,Frisk,0,Sweden,UEFA
Andor Dorogi,not available,Andor,Dorogi,0,Hungary,UEFA
André Daina,https://en.wikipedia.org/wiki/Andr%C3%A9_Daina,André,Daina,0,Switzerland,UEFA
Andrei Rădulescu,https://en.wikipedia.org/wiki/Andrei_R%C4%83dulescu_(footballer),Andrei,Rădulescu,0,Romania,UEFA
Andrés Cunha,https://en.wikipedia.org/wiki/Andr%C3%A9s_Cunha,Andrés,Cunha,0,Uruguay,CONMEBOL
